ID	Name	Desc	Sound	HasF	Loop	CloseEye	Umbrella	Length	HitFrame	Attchment1	AttchmentBone1	Attchment2	AttchmentBone2	Attchment3	AttchmentBone3	AnimalAni
	导出名称	动作名称	音效	有单独的女性动作	循环	闭眼	可以打伞	时长	打击点	外挂模型1	挂点1 默认为Bip001 Spine	外挂模型2	挂点2			
ksxxIdle	ksxxIdle	男_空手休闲待机		1	1		1	1.333333								Idle
kswalk	kswalk	男_空手走路1		1	1		1	1								
ksrun	ksrun	男_空手跑		1	1		1	0.6								
jswalk	jswalk	男_僵尸行走			1	1	1	1.8								
LJXLwalk	LJXLwalk	男_巡逻走路			1		1	1.166667								
carefulWalk	carefulWalk	男_小心翼翼走鬼祟走			1		1	1.666667								
ksQwalk	ksQwalk	男_空手瘸腿走路			1		1	1.4								
ksjujue	ksjujue	男_拒绝		1			1	1.166667								
ksYH	ksYH	男_疑惑		1			1	1.333333								
kskd	kskd	男_肯定		1			1	2.833333								
ksLRDL	ksLRDL	男_左右打量		1			1	2.5								
ksXL	ksXL	男_抱拳行礼		1			1	1.333333								
ksPLSZ	ksPLSZ	男_疲劳舒展		1			1	4.833333								
sleep001	sleep001	男_平躺			1	1		0.03333334								Sleep
sleep002	sleep002	男_侧躺			1	1		0.03333334								Sleep
guzheng1	guzheng1	男_弹古筝	Sound/Work/guzheng		1			2.666667								Atk
xiaqi1	xiaqi1	男_下棋1			1		1	2.666667								Atk
xiaqi2	xiaqi2	男_下棋2			1		1	1.333333								Atk
shuhua1	shuhua1	男_书画		1	1			2.333333		Mod/Prop/Other/mod_maobi	Bip001 R Hand					Atk
shaokao1	shaokao1	男_烧烤_火腿	Sound/Work/shaokao	1	1			1.333333		Mod/Prop/Other/mod_huotui	Bip001 R Hand					Atk
douniao1	douniao1	男_逗鸟	Sound/Work/douniao	1	1		1	2.833333		Mod/Prop/Other/mod_xiaoshuzhi1	Bip001 R Hand					Atk
banxiangzi1	banxiangzi1	男_搬箱子		1	1			1.333333		Mod/Prop/Other/mod_xiangzi_icon	Bip001 R Hand					
TSidle	TSidle	男_挑水待机			1			1.166667		Mod/Prop/Other/mod_shuitong001	Bip001 R Hand					Idle
TSwalk	TSwalk	男_挑水走路			1			1		Mod/Prop/Other/mod_shuitong001	Bip001 R Hand					Run
standeat	standeat	男_站姿吃饭	Sound/Work/eat		1			1		Mod/Prop/Other/mod_kuaizi001	Bip001 R Hand	Mod/Prop/Other/mod_wan001	Bip001 L Hand			Idle
siteat	siteat	男_坐姿吃饭	Sound/Work/eat		1			1		Mod/Prop/Other/mod_kuaizi001	Bip001 R Hand	Mod/Prop/Other/mod_wan001	Bip001 L Hand			Idle
standReat	standReat	男_单手站姿吃饭	Sound/Work/eat		1			1		Mod/Prop/Other/mod_wan001	Bip001 R Hand					
sitReat	siteat	男_单手坐姿吃饭	Sound/Work/eat		1			1		Mod/Prop/Other/mod_wan001	Bip001 Prop2	Mod/Prop/Other/mod_kuaizi001	Bip001 R Hand			
sitNohandeat	sitNohandeat	男_无手坐姿吃饭	Sound/Work/eat		1			1		Mod/Prop/Other/mod_wan001	Bip001 Prop2					
standDrink	standDrink	男_站姿喝水	Sound/Work/eat		1		1	1.5		Mod/Prop/Other/mod_cup001	Bip001 R Hand					
sitDrink	sitDrink	男_坐姿喝水	Sound/Work/eat		1			1.5		Mod/Prop/Other/mod_cup001	Bip001 R Hand					
Sneeze	Sneeze	男_打喷嚏		1		1	1	2								
CutStone	CutStone	男_切石	Sound/Work/CutStone		1			0.7333333		Mod/Prop/Other/mod_chuizi001	Bip001 R Hand	Mod/Prop/Other/mod_zaozi001	Bip001 L Hand			
CutTree	CutTree	男_砍树	Sound/Work/cuttree		1			1.333333								
Bodybuilding	Bodybuilding	男_健美表演		1	1			7								Idle
gain	gain	男_收获	Sound/Work/gain		1		1	1.666667								
iron	iron	男_打铁	Sound/Work/iron	1	1			0.7333333		Mod/Prop/Other/mod_chuizi001	Bip001 R Hand	Mod/Prop/Other/mod_tiepi001	Bip001 L Hand			
wakeng	wakeng	男_挖坑	Sound/Work/wakeng		1			1.666667		Mod/Prop/Other/mod_tieqiao001	Bip001 R Hand					
cutoff	firewood	男_割除	Sound/Work/cutoff		1			1.666667		Mod/Prop/Other/mod_chutou002	Bip001 R Hand					
weave	weave	男_织布	Sound/Work/weave	1	1			2								
firewood	firewood	男_挖矿	Sound/Work/firewood	1	1			2								
dazuo	dazuo	男_打坐	Sound/Work/dazuo		1	1		1.333333		Effect/gsq/Prefab/DaZuo	RotHandle					Sleep
produce	produce	男_制作	Sound/Work/assemble	1	1			2.9								
assemble	assemble	男_摆弄组装拆卸修理物品	Sound/Work/assemble	1	1			1.5								Atk
cook	cook	男_烹饪	Sound/Work/cook	1	1			0.6		Mod/Prop/Other/mod_caidao	Bip001 R Hand					
lianquan1	lianquan1	男_拳法练习1			1			3.4								Atk
lianquan2	lianquan2	男_拳法练习2			1			1								Atk
