境界1无属性瓶颈名,子无甲,子无乙,子无丙,子无丁,子无戊,子无己,子无庚,子无辛,子无壬,子无癸
境界1金属性瓶颈名,子金甲,子金乙,子金丙,子金丁,子金戊,子金己,子金庚,子金辛,子金壬,子金癸
境界1木属性瓶颈名,子木甲,子木乙,子木丙,子木丁,子木戊,子木己,子木庚,子木辛,子木壬,子木癸
境界1水属性瓶颈名,子水甲,子水乙,子水丙,子水丁,子水戊,子水己,子水庚,子水辛,子水壬,子水癸
境界1火属性瓶颈名,子火甲,子火乙,子火丙,子火丁,子火戊,子火己,子火庚,子火辛,子火壬,子火癸
境界1土属性瓶颈名,子土甲,子土乙,子土丙,子土丁,子土戊,子土己,子土庚,子土辛,子土壬,子土癸
境界1混元属性瓶颈名,子混元甲,子混元乙,子混元丙,子混元丁,子混元戊,子混元己,子混元庚,子混元辛,子混元壬,子混元癸
境界2无属性瓶颈名,丑无甲,丑无乙,丑无丙,丑无丁,丑无戊,丑无己,丑无庚,丑无辛,丑无壬,丑无癸
境界2金属性瓶颈名,丑金甲,丑金乙,丑金丙,丑金丁,丑金戊,丑金己,丑金庚,丑金辛,丑金壬,丑金癸
境界2木属性瓶颈名,丑木甲,丑木乙,丑木丙,丑木丁,丑木戊,丑木己,丑木庚,丑木辛,丑木壬,丑木癸
境界2水属性瓶颈名,丑水甲,丑水乙,丑水丙,丑水丁,丑水戊,丑水己,丑水庚,丑水辛,丑水壬,丑水癸
境界2火属性瓶颈名,丑火甲,丑火乙,丑火丙,丑火丁,丑火戊,丑火己,丑火庚,丑火辛,丑火壬,丑火癸
境界2土属性瓶颈名,丑土甲,丑土乙,丑土丙,丑土丁,丑土戊,丑土己,丑土庚,丑土辛,丑土壬,丑土癸
境界2混元属性瓶颈名,丑混元甲,丑混元乙,丑混元丙,丑混元丁,丑混元戊,丑混元己,丑混元庚,丑混元辛,丑混元壬,丑混元癸
境界3无属性瓶颈名,寅无甲,寅无乙,寅无丙,寅无丁,寅无戊,寅无己,寅无庚,寅无辛,寅无壬,寅无癸
境界3金属性瓶颈名,寅金甲,寅金乙,寅金丙,寅金丁,寅金戊,寅金己,寅金庚,寅金辛,寅金壬,寅金癸
境界3木属性瓶颈名,寅木甲,寅木乙,寅木丙,寅木丁,寅木戊,寅木己,寅木庚,寅木辛,寅木壬,寅木癸
境界3水属性瓶颈名,寅水甲,寅水乙,寅水丙,寅水丁,寅水戊,寅水己,寅水庚,寅水辛,寅水壬,寅水癸
境界3火属性瓶颈名,寅火甲,寅火乙,寅火丙,寅火丁,寅火戊,寅火己,寅火庚,寅火辛,寅火壬,寅火癸
境界3土属性瓶颈名,寅土甲,寅土乙,寅土丙,寅土丁,寅土戊,寅土己,寅土庚,寅土辛,寅土壬,寅土癸
境界3混元属性瓶颈名,寅混元甲,寅混元乙,寅混元丙,寅混元丁,寅混元戊,寅混元己,寅混元庚,寅混元辛,寅混元壬,寅混元癸
境界4无属性瓶颈名,卯无甲,卯无乙,卯无丙,卯无丁,卯无戊,卯无己,卯无庚,卯无辛,卯无壬,卯无癸
境界4金属性瓶颈名,卯金甲,卯金乙,卯金丙,卯金丁,卯金戊,卯金己,卯金庚,卯金辛,卯金壬,卯金癸
