ActionWeight	CValue	L1	L2	L3	L4	L5
EatShit	EatShitLevel	1	2	3	4	5
EatEssence	EatEssenceLevel	1	2	3	4	5
EatDrug	EatDrugLevel	1	2	3	4	5
EatWheat	EatWheatLevel	1	2	3	4	5
EatDryMeat	EatDryMeatLevel	1	2	3	4	5
EatPear	EatPearLevel	1	2	3	4	5
EatMeat	EatMeatLevel	1	2	3	4	5
EatCook	EatCookLevel	1	2	3	4	5
BiteBuilding	BiteBuildingLevel	1	2	3	4	5
BiteClothes	BiteClothesLevel	1	2	3	4	5
BiteOuter	BiteOuterLevel	1	2	3	4	5
BiteInner	BiteInnerLevel	1	2	3	4	5
BiteVisitor	BiteVisitorLevel	1	2	3	4	5
BiteIncoming	BiteIncomingLevel	1	2	3	4	5
AtkEnemy	AtkEnemyLevel	1	2	3	4	5
ShitAtShitPlace	ShitAtShitPlaceLevel	1	2	3	4	5
ShitAtPlants	ShitAtPlantsLevel	1	2	3	4	5
ShitAtDogHouse	ShitAtDogHouseLevel	1	2	3	4	5
ShitAtStorage	ShitAtStorageLevel	1	2	3	4	5
ShitOnBed	ShitOnBedLevel	1	2	3	4	5
ShitInFarm	ShitInFarmLevel	1	2	3	4	5
CarryOuterToBed	CarryOuterToBedLevel	1	2	3	4	5
CarryInnerToBed	CarryInnerToBedLevel	1	2	3	4	5
CarryVisitorToBed	CarryVisitorToBedLevel	1	2	3	4	5
CarryIncomingToBed	CarryIncomingToBedLevel	1	2	3	4	5
CarryOuterToDest	CarryOuterToDestLevel	1	2	3	4	5
CarryInnerToDest	CarryInnerToDestLevel	1	2	3	4	5
CarryVisitorToDest	CarryVisitorToDestLevel	1	2	3	4	5
CarryEnemyToDest	CarryEnemyToDestLevel	1	2	3	4	5
CarryIncomingToDest	CarryIncomingToDestLevel	1	2	3	4	5
CarryInnerToDust	CarryInnerToDustLevel	1	2	3	4	5
CarryOuterToDust	CarryOuterToDustLevel	1	2	3	4	5
CarryVisitorToDust	CarryVisitorToDustLevel	1	2	3	4	5
CarryEnemyBodyToDest	CarryEnemyBodyToDestLevel	1	2	3	4	5
CarryVisitorBodyToDest	CarryVisitorBodyToDestLevel	1	2	3	4	5
