Name	Node	Stop	CheckFunc
Touch	TouchNode	0	CheckTouch
ExploreBackComa	ExploreBackComaNode	1	ExploreBackComa
ExploreLeave	ExploreLeaveNode	1	ExploreLeave
ExploreBack	ExploreBackNode	1	ExploreBack
SleepBreak	SleepBreak	1	SleepBreak
AiDaoBreak	AiDaoBreak	1	AiDaoBreak
FreeBreak	FreeBreak	1	FreeBreak
FollowBreak	FollowBreak	1	FollowBreak
QiGanBreak	QiGanBreak	1	QiGanBreak
NeiDanBreak	NeiDanBreak	1	NeiDanBreak
HuTiBreak	HuTiBreak	1	HuTiBreak
LingZhiBreak	LingZhiBreak	1	LingZhiBreak
ShuFaBreak	ShuFaBreak	1	ShuFaBreak
AtkBreak	AtkBreak	1	AtkBreak
EatBreak	EatBreak	1	EatBreak
RollBreak	RollBreak	1	RollBreak
ChopBreak	ChopBreak	1	ChopBreak
HappyBreak	HappyBreak	1	HappyBreak
PlayBBBreak	PlayBBBreak	1	PlayBBBreak
ShitBreak	ShitBreak	1	ShitBreak
HelpPlayBreak	HelpPlayBreak	1	HelpPlayBreak
