Flag	Action
bFirstEatShit	EatShit
bFirstEatEssence	EatEssence
bFirstEatDrug	EatDrug
bFirstEatWheat	EatWheat
bFirstEatDryMeat	EatDryMeat
bFirstEatPear	EatPear
bFirstEatMeat	EatMeat
bFirstEatCook	EatCook
bFirstBiteBuilding	BiteBuilding
bFirstBiteClothes	BiteClothes
bFirstBiteOuter	BiteOuter
bFirstBiteInner	BiteInner
bFirstBiteVisitor	BiteVisitor
bFirstBiteIncoming	BiteIncoming
bFirstAtkEnemy	AtkEnemy
bFirstAtkDizzyOuter	AtkDizzyOuter
bFirstAtkDizzyInner	AtkDizzyInner
bFirstAtkDizzyComing	AtkDizzyComing
bFirstAtkDizzyVisitor	AtkDizzyVisitor
bFirstShitAtShitPlace	ShitAtShitPlace
bFirstShitAtPlants	ShitAtPlants
bFirstShitAtDogHouse	ShitAtDogHouse
bFirstShitAtStorage	ShitAtStorage
bFirstShitOnBed	ShitOnBed
bFirstShitInFarm	ShitInFarm
bFirstCarryOuterToBed	CarryOuterToBed
bFirstCarryOuterToDest	CarryOuterToDest
bFirstCarryInnerToDest	CarryInnerToDest
bFirstCarryVisitorToDest	CarryVisitorToDest
bFirstCarryEnemyToDest	CarryEnemyToDest
bFirstCarryIncomingToDest	CarryIncomingToDest
bFirstCarryInnerToDust	CarryInnerToDust
bFirstCarryOuterToDust	CarryOuterToDust
bFirstCarryVisitorToDust	CarryVisitorToDust
bFirstCarryEnemyBodyToDest	CarryEnemyBodyToDest
bFirstCarryVisitorBodyToDest	CarryVisitorBodyToDest
bFirstCarryIncomingBodyToDest	CarryIncomingBodyToDest
bFirstHelpCarry	HelpCarry
bFirstHelpTimber	HelpTimber
bFirstHelpMine	HelpMine
bFirstHelpFind	HelpFind
bFirstHelpKill	HelpKill
bFirstHelpPlant	Pee
bFirstCureFreeze	CureFreeze
bFirstCureHot	CureHot
bFirstHelpCook	HelpCook
bFirstHeatEndure	HeatEndure
bFirstColdEndure	ColdEndure
bFirstHelpPlay	HelpPlay
bFirstFeedTongXie	FeedTongXie
bFirstCureInner	CureInner
bFirstPlayToy	PlayToy
bFirstHelpPlantD	HelpPlantD
bFirstCarryOuterBodyToDest	CarryOuterBodyToDest
bFirstCarryInnerBodyToDest	CarryInnerBodyToDest
bFirstFeed_Item_Dan_Happiness	Feed_Item_Dan_Happiness
bFirstFeed_Item_Dan_PracticeSpeed	Feed_Item_Dan_PracticeSpeed
bFirstFeed_Item_Dan_CalmDown	Feed_Item_Dan_CalmDown
bFirstFeed_Item_LingStone	Feed_Item_LingStone
bFirstFeed_Item_LingCrystal	Feed_Item_LingCrystal
bFirstBiteExpel	BiteExpel
bFirstAtkDizzyExpel	AtkDizzyExpel
bFirstCarryMortalToDest	CarryMortalToDest
bFirstCarryMortalBodyToDest	CarryMortalBodyToDest
bFirstEatWeight	EatWeight
bFirstTrainQiGan	TrainQiGan
bFirstTrainNeiDan	TrainNeiDan
bFirstTrainHuTi	TrainHuTi
bFirstTrainLingZhi	TrainLingZhi
bFirstTrainShuFa	TrainShuFa
bFirstEat_Item_SnakeGallbladder	Eat_Item_SnakeGallbladder
bFirstEat_Item_BearGallbladder	Eat_Item_BearGallbladder
bFirstEat_Item_RedGinseng	Eat_Item_RedGinseng
bFirstEat_Item_PurpleGanodermaLucidum	Eat_Item_PurpleGanodermaLucidum
bFirstEat_Item_TuEssence	Eat_Item_TuEssence
bFirstEat_Item_HuoEssence	Eat_Item_HuoEssence
bFirstEat_Item_ShuiEssence	Eat_Item_ShuiEssence
bFirstEat_Item_JinEssence	Eat_Item_JinEssence
bFirstEat_Item_MuEssence	Eat_Item_MuEssence
bFirstEat_Item_LifeStream	Eat_Item_LifeStream
bFirstEat_Item_LongEgg	Eat_Item_LongEgg
bFirstEat_Item_FengEgg	Eat_Item_FengEgg
bFirstEat_Item_DragonShit	Eat_Item_DragonShit
bFirstEat_Item_Jiaozi	Eat_Item_Jiaozi
bFirstEat_Item_BossFeng_Meat	Eat_Item_BossFeng_Meat
bFirstEat_Item_BossLong_Meat	Eat_Item_BossLong_Meat
bFirstEat_Item_BossZhuLong_Meat	Eat_Item_BossZhuLong_Meat
bFirstEat_Item_Cake	Eat_Item_Cake
bFirstEat_Item_MonsterBlood	Eat_Item_MonsterBlood
bFirstEat_Item_EarthEssence	Eat_Item_EarthEssence
bFirstEat_Item_SilverGrit	Eat_Item_SilverGrit
bFirstEat_Item_CopperGrit	Eat_Item_CopperGrit
bFirstEat_Item_Cinnabar	Eat_Item_Cinnabar
bFirstEat_Item_LingMuXueJie	Eat_Item_LingMuXueJie
bFirstEat_Item_EarthEssence_1	Eat_Item_EarthEssence_1
bFirstEat_Item_EarthEssence1_1	Eat_Item_EarthEssence1_1
bFirstEat_Item_Healroot	Eat_Item_Healroot
bFirstEat_Item_Mint	Eat_Item_Mint
bFirstEat_Item_MagicHerb	Eat_Item_MagicHerb
bFirstEat_Item_Laxative	Eat_Item_Laxative
bFirstEat_Item_Bamboo	Eat_Item_Bamboo
bFirstEat_Item_BambooShoot	Eat_Item_BambooShoot
bFirstEat_Item_WuDang_HuangJingFen	Eat_Item_WuDang_HuangJingFen
bFirstEat_Item_Dan_WuQiNoHunger2	Eat_Item_Dan_WuQiNoHunger2
bFirstEat_Item_Dan_SanHuaHuangJing	Eat_Item_Dan_SanHuaHuangJing
