DefName	Type	Lv	NeiDan	ShuFa	QiGan	HuTi	LingZhi	Fat	Strong	HungryNeed	FoodAdd	DeclineSec	Modifier
Item_Yao_BoarMeat	ShengRou	2	12	0	0	0	0	1	2	70	0	600	
Item_Fruit	JiaGuo	2	0	0	0	0	12	0	0	40	0	600	
Item_PreservedFruit	JiaGuo	2	0	0	0	0	8	0	0	40	0	600	
Item_Ginkgo	JiaGuo	1	0	0	0	0	9	0	0	40	0	600	
Item_Pear	JiaGuo	0	0	0	0	0	7	0	0	40	0	600	
Item_Jerky	ShengRou	0	4	0	0	0	0	0	1	35	0	600	
Item_BoarMeat	ShengRou	0	4	0	0	0	0	0	1	35	0	600	
Item_FrogMeat	ShengRou	0	4	0	0	0	0	0	1	35	0	600	
Item_TurtleMeat	ShengRou	0	4	0	0	0	0	0	1	35	0	600	
Item_BearMeat	ShengRou	0	4	0	0	0	0	0	1	35	0	600	
Item_Beef	ShengRou	0	4	0	0	0	0	0	1	35	0	600	
Item_RabbitMeat	ShengRou	0	4	0	0	0	0	0	1	35	0	600	
Item_ChickenMeat	ShengRou	0	4	0	0	0	0	0	1	35	0	600	
Item_WolfMeat	ShengRou	0	8	0	0	0	0	0	1	70	0	600	
Item_CatMeat	ShengRou	0	4	0	0	0	0	0	1	35	0	600	
Item_TigerMeat	ShengRou	0	4	0	0	0	0	0	1	35	0	600	
Item_FishMeat	ShengRou	1	10	0	0	0	0	0	0	70	0	600	
Item_SnakeMeat	ShengRou	0	4	0	0	0	0	0	1	35	0	600	
Item_ChickenEgg	ShengRou	1	5	0	0	0	0	0	0	35	0	600	
Item_SnakeEgg	ShengRou	1	5	0	0	0	0	0	0	35	0	600	
Item_TurtleEgg	ShengRou	1	5	0	0	0	0	0	0	35	0	600	
Item_Wheat	Other	0	0	0	0	2	0	1	0	60	0	600	
Item_Mushroom	XiangXun	0	0	0	3	0	0	-1	0	25	0	600	
Item_Lotusroot	DiXian	0	0	6	0	0	0	0	-1	55	0	600	
Item_Flour	Other	0	0	0	0	0	0	0	0	60	0	600	
Item_Ginseng	DiXian	2	0	9	0	0	0	0	-1	55	0	600	
Item_GanodermaLucidum	XiangXun	2	0	0	5	0	0	-1	0	25	0	600	
Item_HomeFood	ShuShi	0	0	0	0	10	0	1	0	85	0	600	
Item_DeliciousFood	ShuShi	1	0	0	0	12	0	1	0	85	0	600	
Item_DelicacyFood	ShuShi	2	0	0	0	15	0	1	0	85	0	600	
Item_ShuiEssence	Drug		0	0	50	0	-1	0	0	0	9999	1800	Modifier_Dan_ColdDown
