DefName	Type	Lv	NeiDan	ShuFa	QiGan	HuTi	LingZhi	Fat	Strong	HungryNeed	FoodAdd	DeclineSec	Modifier
Item_Bamboo	Other	0	0	0	0	0	0	0	0	0	0	600	
Item_BambooShoot	DiXian	1	0	6	0	0	0	0	0	20	0	600	
Fish_Ji	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_t6	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_t8	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_s3	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_s7	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_s9	ShengRou	2	8	0	0	0	0	0	0	70	0	600	
Fish_ChillyCrab	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_BaiHuang	ShengRou	3	12	0	0	0	0	0	0	70	0	600	
Fish_s1	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_r6	ShengRou	2	4	0	0	0	0	0	0	70	0	600	
Fish_QingHei	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_t2	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_s2	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_r8	ShengRou	3	12	0	0	0	0	0	0	70	0	600	
Fish_s5	ShengRou	2	8	0	0	0	0	0	0	70	0	600	
Fish_t1	ShengRou	3	12	0	0	0	0	0	0	70	0	600	
Fish_t5	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_r2	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_r1	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_r11	ShengRou	2	4	0	0	0	0	0	0	70	0	600	
Fish_FenLi	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_t11	ShengRou	2	8	0	0	0	0	0	0	70	0	600	
Fish_r3	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_Black	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_BlueFish	ShengRou	2	8	0	0	0	0	0	0	70	0	600	
Fish_Huang	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_HongHuang	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_r13	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_RedFish	ShengRou	3	4	0	0	0	0	0	0	70	0	600	
Fish_t10	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_JadeCrab	ShengRou	3	4	0	0	0	0	0	0	70	0	600	
Fish_s6	ShengRou	2	4	0	0	0	0	0	0	70	0	600	
Fish_r5	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_r12	ShengRou	2	8	0	0	0	0	0	0	70	0	600	
Fish_XieLi	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_t3	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_s4	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_s11	ShengRou	3	12	0	0	0	0	0	0	70	0	600	
Fish_FireCrab	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_HongGui	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_t4	ShengRou	2	8	0	0	0	0	0	0	70	0	600	
Fish_s10	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_r4	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_r7	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_t7	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_t9	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_t12	ShengRou	3	12	0	0	0	0	0	0	70	0	600	
Fish_s12	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_s8	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_r9	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Fish_r10	ShengRou	2	8	0	0	0	0	0	0	70	0	600	
Shrimp1	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Shrimp2	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Shrimp3	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Shrimp4	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Shrimp5	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Shrimp6	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Shrimp7	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Shrimp8	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Shrimp9	ShengRou	1	4	0	0	0	0	0	0	70	0	600	
Shrimp10	ShengRou	2	8	0	0	0	0	0	0	70	0	600	
Shrimp11	ShengRou	3	12	0	0	0	0	0	0	70	0	600	
Shrimp12	ShengRou	2	8	0	0	0	0	0	0	70	0	600	
