Jobp	Fat1	Fat2	Fat3	Fat4	Fat5	Str1	Str2	Str3	Str4	Str5	Desc1	Desc2	Desc3	Desc4	Desc5
EatShit											我绝对不吃屎，除非喂我	我极少吃屎	我偶尔会吃屎	我有时候会吃屎	我经常吃屎
EatEssence											我绝对不吃天地灵根，除非喂我	我极少吃天地灵根	我偶尔会吃天地灵根	我有时候会吃天地灵根	我经常吃天地灵根
EatDrug											我绝对不把丹药当零食吃，除非喂我	我极少把丹药当零食	我偶尔会把丹药当零食吃	我有时候会把丹药当零食	我经常把丹药当零食
EatWheat											我不到万不得已绝不吃小麦	我极少吃小麦	我偶尔会吃小麦	我有时候会吃小麦	我经常吃小麦
EatDryMeat											我不到万不得已绝不吃肉干	我极少吃肉干	我偶尔会吃肉干	我有时候会吃肉干	我经常吃肉干
EatPear											我不到万不得已绝不吃梨子	我极少吃梨子	我偶尔会吃梨子	我有时候会吃梨子	我经常吃梨子
EatMeat											我不到万不得已绝不吃生肉	我极少吃生肉	我偶尔会吃生肉	我有时候会吃生肉	我经常吃生肉
EatCook											我不到万不得已吃熟食	我极少吃熟食	我偶尔会吃熟食	我有时候会吃熟食	我经常吃熟食
EatWeight	-1	-1	0	1	1						我非常饿才会吃东西	我很饿才去吃东西	我饿了就会去吃东西	我有点饿就会吃东西	我稍微有点饿就吃东西
BiteBuilding											我绝对不会攻击建筑	我极少攻击建筑	我偶尔会攻击建筑	我有时候会攻击建筑	我经常狠狠地攻击建筑
BiteClothes											我绝对不会攻击衣服	我极少攻击衣服	我偶尔会攻击衣服	我有时候会攻击衣服	我经常狠狠地攻击衣服
BiteOuter											我绝对不会攻击外门弟子	我极少攻击外门弟子	我偶尔会攻击外门弟子	我有时候会攻击外门弟子	我经常狠狠地攻击外门弟子
BiteInner											我绝对不会攻击内门弟子	我极少攻击内门弟子	我偶尔会攻击内门弟子	我有时候会攻击内门弟子	我经常狠狠地攻击内门
BiteVisitor											我绝对不会攻击访客	我极少攻击访客	我偶尔会攻击访客	我有时候会攻击访客	我经常狠狠地攻击攻击访客
BiteIncoming											我绝对不会攻击来客	我极少攻击来客	我偶尔会攻击来客	我有时候会攻击来客	我经常狠狠地攻击来客
AtkEnemy											我绝对不会攻击敌人，除非被攻击	我极少攻击敌人	我偶尔会攻击敌人	我有时候会攻击敌人	只要有敌人来袭，我就立即攻击
AtkDizzyOuter											我绝对不会攻击昏迷的外门	我极少去攻击昏迷的外门	我偶尔会去攻击昏迷的外门	我有时会去攻击昏迷的外门	我经常攻击昏迷的外门
AtkDizzyInner											我绝对不会攻击昏迷的内门	我极少去攻击昏迷的内门	我偶尔会去攻击昏迷的内门	我有时会去攻击昏迷的内门	我经常攻击昏迷的外门
AtkDizzyComing											我绝对不会攻击昏迷的来客	我极少去攻击昏迷的来客	我偶尔会去攻击昏迷的来客	我有时会去攻击昏迷的来客	我经常攻击昏迷的来客
AtkDizzyVisitor											我绝对不会攻击昏迷的访客	我极少去攻击昏迷的访客	我偶尔会去攻击昏迷的访客	我有时会去攻击昏迷的访客	我经常攻击昏迷的访客
ShitAtShitPlace											我绝对不会去排泄点排泄	我极少去排泄点排泄	我偶尔会去排泄点排泄	我有时候会去排泄点排泄	我经常找排泄点排泄
ShitAtPlants											我绝对不会在植物上排泄	我极少去在植物上排泄	我偶尔会去在植物上排泄	我有时候会在植物上排泄	我经常找植物排泄
ShitAtDogHouse											我绝对不会去巢里排泄	我极少去巢里排泄	我偶尔会去巢里排泄	我有时候会去巢里排泄	我经常找巢里排泄
ShitAtStorage											我绝对不会去仓库排泄	我极少去仓库排泄	我偶尔会去仓库排泄	我有时候会去仓库排泄	我经常找仓库排泄
ShitOnBed											我绝对不会去床上排泄	我极少去床上排泄	我偶尔会去床上排泄	我有时候会去床上排泄	我经常找床排泄
ShitInFarm											我绝对不会去农田排泄	我极少去农田排泄	我偶尔会去农田排泄	我有时候会去农田排泄	我经常找农田排泄
CarryOuterToBed											我绝对不会把昏迷的外门弟子搬到床上	我极少把昏迷的外门弟子搬到床上	我偶尔会把昏迷的外门弟子搬到床上	我有时候会把昏迷的外门弟子搬到床上	我经常把昏迷的外门弟子搬到床上
CarryVisitorToDest											我绝对不会把昏迷的访客搬到搬运点	我极少把昏迷的访客搬到搬运点	我偶尔会把昏迷的访客搬到搬运点	我有时候会把昏迷的访客搬到搬运点	我经常把昏迷的访客搬到搬运点
CarryEnemyToDest											我绝对不会把昏迷的敌人搬到搬运点	我极少把昏迷的敌人搬到搬运点	我偶尔会把昏迷的敌人搬到搬运点	我有时候会把昏迷的敌人搬到搬运点	我经常把昏迷的敌人搬到搬运点
CarryIncomingToDest											我绝对不会把昏迷的凡人搬到搬运点	我极少把昏迷的凡人搬到搬运点	我偶尔会把昏迷的凡人搬到搬运点	我有时候会把昏迷的凡人搬到搬运点	我经常把昏迷的凡人搬到搬运点
CarryEnemyBodyToDest											我绝对不会把敌人的尸体搬到搬运点	我极少把敌人的尸体搬到搬运点	我偶尔会把敌人的尸体搬到搬运点	我有时候会把敌人的尸体搬到搬运点	我经常把敌人的尸体搬到搬运点
CarryVisitorBodyToDest											我绝对不会把访客尸体搬到搬运点	我极少把访客尸体搬到搬运点	我偶尔会把访客尸体搬到搬运点	我有时候会把访客尸体搬到搬运点	我经常把访客尸体搬到搬运点
CarryIncomingBodyToDest											我绝对不会把凡人的尸体搬到搬运点	我极少把凡人的尸体搬到搬运点	我偶尔会把凡人的尸体搬到搬运点	我有时候会把凡人的尸体搬到搬运点	我经常把凡人的尸体搬到搬运点
HelpCarry	0	-1	-1	-1	-1						我绝对不会帮忙搬运物品	我极少帮忙搬运物品	我偶尔会帮忙搬运物品	我有时候帮忙搬运物品	我经常帮忙搬运物品
HelpTimber											我绝对不会帮忙砍树	我极少帮忙砍树	我偶尔会帮忙砍树	我有时候帮忙砍树	我经常帮忙砍树
HelpMine											我绝对不会帮忙采矿	我极少帮忙采矿	我偶尔会帮忙采矿	我有时候帮忙采矿	我经常帮忙采矿
HelpFind											我绝对不会搜索敌人身上的物品	我极少搜索敌人身上的物品	我偶尔会搜索敌人身上的物品	我有时候会搜索敌人身上的物品	我经常搜索敌人身上的物品
HelpKill											我绝对不会屠宰动物	我极少屠宰动物	我偶尔会屠宰动物	我有时候会屠宰动物	我经常屠宰动物
HelpPlant											我绝对不会朝农作物撒尿	我极少朝农作物撒尿	我偶尔会朝农作物撒尿	我有时候会朝农作物撒尿	我经常朝农作物撒尿
Pee											我绝对不会朝农作物撒尿	我极少朝农作物撒尿	我偶尔会朝农作物撒尿	我有时候会朝农作物撒尿	我经常朝农作物撒尿
CureFreeze											我绝对不会治疗冻伤	我极少治疗冻伤	我偶尔会治疗冻伤	我有时候会治疗冻伤	我经常治疗冻伤
CureHot											我绝对不会治疗中暑	我极少治疗中暑	我偶尔会治疗中暑	我有时候会治疗中暑	我经常治疗中暑
HelpCook											我绝对不帮忙做饭	我极少帮忙做饭	我偶尔会帮忙做饭	我有时候会帮忙做饭	我经常帮忙做饭
HeatEndure											我绝对不对弟子施放清凉咒	我极少对弟子施放清凉咒	我偶尔会对弟子施放清凉咒	我有时候会对弟子施放清凉咒	我经常对弟子施放清凉咒
ColdEndure											我绝对不对弟子施放炉温咒	我极少对弟子施放炉温咒	我偶尔会对弟子施放炉温咒	我有时候会对弟子施放炉温咒	我经常对弟子施放炉温咒
HelpPlay											我绝对不去逗弟子开心	我极少去逗弟子开心	我偶尔会去逗弟子开心	我有时候会逗弟子开心	我经常去逗弟子开心
FeedTongXie											我绝对不会喂弟子通泄散	我极少去喂弟子通泄散	我偶尔会去喂弟子通泄散	我有时候会去喂弟子通泄散	我经常去喂弟子通泄散
CureInner											我绝对不会使用化伤术治疗伤势	我极少使用化伤术治疗伤势	我偶尔会使用化伤术治疗伤势	我有时候使用化伤术治疗伤势	我经常使用化伤术治疗伤势
HealInner											我绝对不会使用化伤术治疗伤势	我极少使用化伤术治疗伤势	我偶尔会使用化伤术治疗伤势	我有时候使用化伤术治疗伤势	我经常使用化伤术治疗伤势
PlayToy											我绝对不会玩玩具	我极少玩玩具	我偶尔会去玩玩具	我有时候会玩玩具	我经常玩玩具
TrainQiGan											我绝对不练灵气	我极少练灵气	我偶尔会练灵气	我有时候练灵气	我经常练灵气
