talk	notarget	int	string	float	thing
NotEatShit	我才不会吃粪便呢				
NotEatEssence	我是不会吃天才地宝的，除非喂我				
NotEatDrug	打死我也不把丹药当零食吃，除非喂给我				
NotEatWheat	我只有饿扁了才会吃小麦				
NotEatDryMeat	我...真的不会吃肉干				
NotEatPear	梨子是什么？能吃吗？				
NotEatMeat	生肉真恶心，我不到万不得已绝对不吃				
NotEatCook	熟食是我最不想吃的食物				
NotBiteBuilding	我不是很想攻击建筑				
NotBiteClothes	我不会去玩弄衣服				
NotBiteOuter	我不会攻击外门弟子				
NotBiteInner	我不会攻击内门弟子				
NotBiteVisitor	我不会攻击访客				
NotBiteIncoming	我不会攻击前来的凡人				
NotAtkEnemy	我不会攻击敌人，除非被攻击				
NotShitAtShitPlace	我不会在排泄点排泄				
NotShitAtPlants	我不会在植物旁边排泄				
NotShitAtDogHouse	我不会在我的巢里排泄				
NotShitAtStorage	我不会在仓库排泄				
NotShitOnBed	我不会在床上排泄				
NotShitInFarm	我不会在农田里排泄				
NotCarryOuterToBed	我不会把昏迷的弟子搬到床上				
NotCarryVisitorToDest	我不会把昏迷的访客搬到搬运点				
NotCarryEnemyToDest	我不会把昏迷的敌人搬到搬运点				
NotCarryIncomingToDest	我不会把昏迷的凡人搬到搬运点				
NotCarryEnemyBodyToDest	我不会把敌人的尸体搬到搬运点				
NotCarryVisitorBodyToDest	我不会把访客的尸体搬到搬运点				
NotCarryIncomingBodyToDest	我不会把凡人的尸体搬到搬运点				
NotHelpCarry	我不会帮忙整理物品				
NotHelpTimber	我不会帮忙砍树				
NotHelpMine	我不会帮忙挖矿				
NotHelpFind	我不会帮忙搜刮物品				
NotHelpKill	我不会帮忙屠宰动物				
NotHelpPlant	我不会帮忙给植物施肥				
NotCureFreeze	我不会帮忙治疗冻伤				
NotCureHot	我不会帮忙治疗中暑				
NotHelpCook	我不会帮忙做饭				
NotHeatEndure	我不会帮忙提高耐热能力				
NotColdEndure	我不会帮忙提高耐寒能力				
NotHelpPlay	我不会陪弟子玩耍				
NotPlayToy	我不会玩玩具				
NotTrainQiGan	我不会训练灵气能力				
NotTrainNeiDan	我不会训练御丹能力				
NotTrainHuTi	我不会训练护体能力				
NotTrainLingZhi	我不会训练灵智能力				
NotTrainShuFa	我不会训练术法能力				
WannaEatShit					这个{0}，它好吃吗？
WannaEatEssence					这个{0}让我直流口水
WannaEatDrug					我想把丹药当零食吃
WannaEatWheat					这个{0}看起来很美味
WannaEatDryMeat					我抵挡不住{0}的香味了
WannaEatPear					受不了了，我想吃{0}
WannaEatMeat					{0}，我要开动了
WannaEatCook					我真的很想吃{0}
WannaBiteBuilding					{0}，我忍你很久了
WannaBiteClothes					这个{0}拿来磨牙一定很不错
WannaBiteOuter					外门弟子{0}会是什么味道的呢
WannaBiteInner					是时候向内门弟子{0}展现一下实力了
WannaBiteVisitor					访客{0}看起来很适合练技术
WannaBiteIncoming					来客{0}看起来很适合练技术
WannaAtkEnemy					{0}，你的死期到了
WannaShitAtShitPlace					我想在排泄点排泄
WannaShitAtPlants					我想在植物旁边排泄
WannaShitAtDogHouse					我想在我的巢里排泄
WannaShitAtStorage					我的粪便很珍贵，拉到仓库应该很合适
WannaShitOnBed					在床上排泄看起来很有趣
WannaShitInFarm					在田里排泄应该很有帮助？
WannaCarryOuterToBed					我得帮帮昏迷的{0}
WannaCarryVisitorToDest					我想把昏迷的访客{0}搬到搬运点
WannaCarryEnemyToDest					我想把昏迷的敌人{0}搬到搬运点
WannaCarryIncomingToDest					我想把昏迷的来客{0}搬到搬运点
WannaCarryEnemyBodyToDest					我想把敌人{0}的尸体搬到搬运点
WannaCarryVisitorBodyToDest					我想把访客{0}的尸体搬到搬运点
WannaCarryIncomingBodyToDest					我想把来客{0}的尸体搬到搬运点
WannaHelpCarry	我想帮忙整理物品				
WannaHelpTimber	看起来需要把这些树砍掉，我来帮帮忙				看起来需要把这些树砍掉，我来帮帮忙
WannaHelpMine	这些石头看起来很有价值，看招				这些石头看起来很有价值，看招
WannaHelpFind	让我看看这些人身上有什么宝贝				让我看看这些人身上有什么宝贝
WannaHelpKill	不能让尸体烂掉，让我来帮忙处理一下				不能让尸体烂掉，让我来帮忙处理一下
WannaHelpPlant	田里的植物看起来很有用，我来施施肥				田里的植物看起来很有用，我来施施肥
WannaCureFreeze	{0}的冻伤很严重，让我来治疗一下				{0}的冻伤很严重，让我来治疗一下
WannaCureHot	{0}的中暑很严重，让我来治疗一下				{0}的中暑很严重，让我来治疗一下
WannaHeatEndure	我想帮忙提高耐热能力				我想帮忙提高耐热能力
WannaColdEndure	我想帮忙提高耐寒能力				我想帮忙提高耐寒能力
WannaHelpPlay	{0}看起来心情不太好				{0}看起来心情不太好
WannaPlayToy	我想狠狠地玩{0}				我想狠狠地玩{0}
DoTalkEatShit					我正在吃{0}
DoTalkEatEssence					我正在吃{0}
DoTalkEatDrug					我正在吃{0}
DoTalkEatWheat					我正在吃{0}
DoTalkEatDryMeat					我正在吃{0}
DoTalkEatPear					我正在吃{0}
DoTalkEatMeat					我正在吃{0}
DoTalkEatCook					我正在吃{0}
DoTalkEat					我正在享用{0}
DoTalkBiteBuilding					我正在拿{0}来磨牙
DoTalkBiteClothes					我正在攻击{0}
DoTalkBiteOuter					我正在攻击{0}
DoTalkBiteInner					我正在咬访客{0}
DoTalkBiteVisitor					我正在咬来客{0}
DoTalkBiteIncoming					我正在咬{0}
DoTalkBiteBuildingEx					我正在狠狠地咬{0}
DoTalkBiteClothesEx					我正试图咬烂{0}
DoTalkBiteOuterEx					我正在使劲咬{0}
DoTalkBiteInnerEx					我正在使劲咬{0}
DoTalkBiteVisitorEx					我正在使劲咬访客{0}
DoTalkBiteIncomingEx					我正在使劲咬来客{0}
DoTalkAtkEnemy					我正在攻击{0}！
DoTalkShitAtShitPlace					我正在在我的茅房排泄
DoTalkShitAtPlants					我正在在{0}旁边排泄
DoTalkShitAtDogHouse					我正在在我的巢里排泄
DoTalkShitAtStorage					我正在在仓库排泄
DoTalkShitOnBed					我正在在床上排泄
