ID	IsHide	LastName	FristName	Desc	Race	SpecialYG	Sex	Age	BodyType	Hair	Beard	ClothesStuff	BodyColor	BackStory1	BackStory2	BackStory3	Feature1	Feature2	Feature3	Experience1	Experience2	Experience3	Experience4	Relation1	Relation2	Relation3
ID	是否隐藏1 不参与随机但参与创建2 不参与随机也不参与创建	姓	名	轮回者来源	种族	是否为特殊妖族	性别(1男2女)	年龄	身体类型(1正常2壮3胖)	头发ID	胡须ID	衣服主材料	肤色(正常0白1黑2黄3)	背景故事1	背景故事2	背景故事3	附加特性1	附加特性2	附加特性3	经历1	经历2	经历3	经历4	关系1(ID|NAME)	关系2(ID|NAME)	关系3(ID|NAME)
-1	2			身份遗失的迷之轮回者，没有人知道任何信息。(模组丢失)			1																			
1	1	子	非鱼				1	45	1	10	5		3	200045	200046	200027	LunHui_1	LunHui_2		Experiences6	Experiences11	Experiences13				
2	0	周	公子				1	22	1	9			3	200043	200044	200028	LunHui_4									
3	0	徐	无鬼	谨以此轮回者纪念2017年的春天。			1	27	1	8			3	200023	200035		LunHui_5									
4	0	杨	大	谨以此轮回者纪念2017年的春天。			1	32	2	3			3	200023	200034		LunHui_2	HighMan								
5	0	豆	豆				1	27	1	2			3	23	200026											
6	0	噜	噜				1	26	1	7			3	200025	610											
7	0	黑	皇	谨以此轮回者纪念2017年的春天。			1	45	2	8	2		2	200023	200024		LunHui_2									
8	0	三	三				2	18	1	5			1	200036	200037		Enthusiasm	Sensitive	Strong							
9	0	一丝	不狗				2	18	2	2			1	200038	200039	200030										
10	0	叶	倾心				2	18	1	1			3	200040	200041											
11	0	张	四海				1	34	2	8	2		1	200049	200050	200031										
12	0	咸鱼	启				1	23	1	1			1	200047	200048	200029										
13	2	风	之海				1									200032										
14	0	夜	猫				1	29	1	8			1	200051	200052	200033	LunHui_14									
15	0	不	化骨				1	23	1					200053	200054											
16	0	觞水	吃瓜				1	99	1	9	3		1	200055	200056											
17	0	金	鱼				2	18	1	5			1	200061	200062											
18	0	剑	廿三				1	27	1	10			0	200063	200064					Experiences11						
19	0	限	号				1	27	1	3			3	200065	200066	200067				LunHui_Experiences3						
20	0	雪	翼				1	27	1	4			3	200068	200069	200070										
1000	0	拼命	玩三郎	独立游戏制作人、独立游戏大电影制片人			1	40	1					200003	200004											
1001	0	小林	正雪	小林正雪系列游戏主角			1	27	1					200001	200002		FacialScar	Optimistic	Careful							
1002	0	王	妙一	独立游戏《美好世界》制作人			2	18	1					200005	200006		Pessimism	Warrior		LunHui_Experiences2						
1003	0	王	老菊	原创游戏视频制作人			1	28	1	1	-1		0	200117	200118		BanLove	LunHui_36	LunHui_37	LunHui_Experiences4				1004|Spouse		
1004	0	免	免	时尚、手账博主			2	27	1	3			1	200119	200120		BanLove			Experiences29				1003|Spouse		
1005	0	盖	斯特	《波西亚时光》人物			1	23	1					200007	200008		LunHui_Kong_1	Artist	LunHui_Kong_2							
1006	0	阿	尔洛	《波西亚时光》人物			1	28	1					200009	200010		LunHui_Kong_3									
1007	0	艾	米丽	《波西亚时光》人物			2	20	1					200011	200012		Optimistic									
