ID	Type	Level	Rate	Cost	Population	GodPower	Txt
ID	类型 0善1恶	等级 0-5 依次变难 5级为核心信徒专用	权重 同一个类型会拉通随机	消耗信仰	获得神民	获得神性	内容
1	0	0	100	412	1		[TITLE]在上，我就试试看你能不能听到……嘻嘻
2	0	0	100	412	1		[TITLE]在上，希望我的老寒腿能痊愈。
3	0	0	100	592	1		[TITLE]在上，神仙保佑，希望可以追到心仪的姑娘。
4	0	0	100	470	1		[TITLE]在上，希望明天能吃顿好……
5	0	0	100	647	1		[TITLE]在上，希望能捡到钱。
6	0	0	100	642	1		[TITLE]在上，希望明天怡红院的绿珠姑娘没人点。
7	0	0	100	575	1		[TITLE]在上，希望掌柜的明天结钱不要拖欠。
8	0	0	100	415	1		[TITLE]在上，希望今年有人能与我庆生。
9	0	1	50	52125	5	0.006	[TITLE]在上，希望可以科考中榜。
10	0	1	50	52122	4	0.01	[TITLE]在上，希望这次家里能生个男孩儿。
11	0	1	50	36037	2	0.006	[TITLE]在上，希望全家身体健康。
12	0	1	50	56469	5	0.01	[TITLE]在上，希望今年能有好收成。
13	0	1	50	44761	2	0.006	[TITLE]在上，希望今年能在城中购置一套家业。
14	0	2	25	486922	66	0.084	[TITLE]在上，希望本村收成大好……
15	0	2	25	641877	90	0.062	[TITLE]在上，希望今年村子不要有什么灾难。
16	0	2	25	443403	70	0.094	[TITLE]在上，希望村子能尽早重建。
17	0	2	25	438944	175	0.091	[TITLE]在上，希望村子附近安稳无事。
18	0	2	25	639154	85	0.091	[TITLE]在上，希望今年山里不要闹兽灾。
19	0	3	10	6250850	6404	0.533	[TITLE]在上，希望今年家乡风调雨顺。
20	0	3	10	5794846	7483	0.524	[TITLE]在上，希望今年寒冬莫要有寒潮。
21	0	3	10	5628089	2732	0.797	[TITLE]在上，希望今年雨水少些，不要再发洪涝。
22	0	3	10	4226786	3434	0.654	[TITLE]在上，希望今年雨水多些，不要再发旱灾了。
23	0	3	10	5535819	4286	0.661	[TITLE]在上，希望本城今年不要再遭妖兽袭击。
24	0	4	1	64980186	155894	5.373	[TITLE]在上，希望吾国国运昌盛，千秋万代。
25	0	4	1	40421466	271005	5.355	[TITLE]在上，希望今年能天下太平。
26	0	4	1	44910500	134363	5.603	[TITLE]在上，希望世道能少些戾气！
27	0	4	1	50153390	133771	8.941	[TITLE]在上，愿这世间人人如龙，自强不息！
28	0	4	1	43473510	112843	6.337	[TITLE]在上，愿人间如净土，普世大同！
29	1	0	100	437	1		[TITLE]在上，希望掌柜的出门踩到狗屎……
30	1	0	100	410	1		[TITLE]在上，希望隔壁今天做生意倒霉。
31	1	0	100	466	1		[TITLE]在上，希望我今天的对手能失手。
32	1	0	100	497	1		[TITLE]在上，希望昨天偷我家的贼不得好死。
33	1	0	100	440	1		[TITLE]在上，希望骂我的那个憨憨拉不出屎。
34	1	1	50	52548	1	0.009	[TITLE]在上，神仙保佑，希望隔壁一家恶人倒霉。
35	1	1	50	50374	3	0.007	[TITLE]在上，希望隔壁那帮倒霉鬼不得好死。
36	1	1	50	44360	3	0.01	[TITLE]在上，希望上司出意外，好让我上位。
37	1	1	50	47564	5	0.008	[TITLE]在上，希望邻居的田被野猪毁掉。
38	1	1	50	45319	5	0.005	[TITLE]在上，希望偷我钱的混蛋被雷劈。
39	1	2	25	627565	174	0.07	[TITLE]在上，希望隔壁那混蛋村子被妖兽毁掉。
40	1	2	25	519843	153	0.084	[TITLE]在上，希望我们村子能灭掉周围的一切威胁。
41	1	2	25	463294	180	0.086	[TITLE]在上，希望我们能把隔壁村灭掉吞并。
42	1	2	25	622275	52	0.08	[TITLE]在上，希望隔壁村落遭天谴。
43	1	2	25	388986	114	0.083	[TITLE]在上，希望今年洪水能顺便把隔壁村子冲走。
44	1	3	10	4228867	7314	0.603	[TITLE]在上，希望此郡山匪尽数暴毙。
45	1	3	10	3534484	2775	0.931	[TITLE]在上，希望此城恶人不得好死。
46	1	3	10	5100115	5615	0.631	[TITLE]在上，希望伤人的野兽都死绝。
47	1	3	10	6300225	5584	0.661	[TITLE]在上，希望方圆百里都为我奴仆下属。
48	1	3	10	4659320	7869	0.537	[TITLE]在上，希望今年山上的猎物能都被我打到！
49	1	4	1	55418939	194322	9.701	[TITLE]在上，希望上天有眼，灭除蛮夷之族。
50	1	4	1	41639440	202271	9.415	[TITLE]在上，希望敌国早日灭国……不要在打下去了。
51	1	4	1	49810917	189979	9.437	[TITLE]在上，希望那些比我过的好的人都不得善终。
52	1	4	1	59012517	200390	5.577	[TITLE]在上，希望世上恶人都遭天谴。
53	1	4	1	51687314	259059	5.68	[TITLE]在上，希望与我作对之人都不得好死。
54	1	5	1	2500000	0	0	愿我心永驻神国，无忧无难，得享清明境界……
