Name	DisplayName	Tips
		
DisplayName	名称	该项目的名称。
Desc	描述	该项目的详细描述。
Element	五行	该物品的五行属性。
Rate	品阶	该物品的品阶。
Zhuji	筑基值	外门弟子服用该物品提升的筑基值。（填写范围：0~30000）
Fesistance	耐药性	多次服用该物品的药效衰减率。耐药性为1意味着下次服用该物品将完全无法生效。（填写范围：0~1；精度支持：0.01）
Ling	灵气值	服用该物品提高的灵气值。（填写范围：0~999999999）
Nutrition	营养值	服用该物品提高多少食物值。（填写范围：0~100）
Water	饮水值	服用该物品提高多少饮水值。（填写范围：0~100）
PracticeNutrition	精元值	服用该物品提高多少精元值。（填写范围：0~9999）
DiscipleOnly	是否只有内门有效	该物品是否只有内门弟子生效。
DanModifier	丹药效果	服用该物品所附加的特殊效果。
Color	偏色	该物品的贴图偏色。
EquipLable	装备类型	该装备的类型。
EquipModel	模型	该装备的模型。
Sex	性别	穿戴该装备所需的性别要求。
TemperatureMaxAdd	最大适宜温度调整值	该装备对角色最大适宜温度的基础调整值，真实值会与装备品质与所用材料有关。（填写范围：-999~999）
TemperatureMinAdd	最低适宜温度调整值	该装备对角色最低适宜温度的基础调整值，真实值会与装备品质与所用材料有关。（填写范围：-999~999）
WeaponKind	武器	该武器的类型。
Damage	基础伤害	该武器的基础伤害值，真实值会与装备品质与所用材料有关。（填写范围：1~999）
AttackSpeed	攻击速度	该武器每秒的攻击次数。（填写范围：0.3~3）
AttackRange	攻击范围	该武器发动攻击的最远距离。单位：格。（填写范围：1.5~20）
Difficulty	学习难度	该秘籍的难度，难度越大，学习所需参悟越多，习得后提高的道行也越多。（填写范围：0~999）
EsotericaType	秘籍类型	该秘籍所属的类型。
MaxStack	叠加层数	
Duration	持续	该特殊效果持续的时间。单位：秒。（填写范围：-1或1~999999，-1为该效果永久有效）
Skill	技能增加	该特殊效果所带来的技能附加。
Property	属性增加	该特殊效果所带来的属性附加。
GLevel	境界	学习该秘籍所需的境界。
DanLevel	炼丹等级	炼制该丹药所需的炼丹技能等级。（填写范围：1~20）
DanCount	炼丹数量	每次炼制该丹药产出的理论数量，真实值会与炼丹者的水平，炼制环境有关；炼丹时，该值真实值至少为1。（填写范围：0.1~999）
DanRate	炼丹难度	炼制该丹药的难度。难度越高，越不容易炼制成功。
ELearn	秘籍学习	可以通过以下秘籍学会此丹药的炼制方法。
WorldDrop	世界掉落	在历练中触发获得随机丹药的奖励后，有可能获得此丹药。
Businessman	商人售卖	可以在行商的货物中购买到此丹药。
InitialUnlock	初始解锁	该丹药默认所有人都可以炼制。
DropCount	掉落数量	历练中获得该丹药的数量。
DropRate	掉落概率	历练中触发获得随机丹药的奖励后，获得该丹药的概率。
SellPrice	物品价格	从行商手中购买该物品的价格。
SellCount	售卖数量	行商一次会携带多少该丹药。
StuffSelect	副材料	选择制造该物品所需的材料。
EsoDropRate	掉落概率	历练中触发获得随机秘籍的奖励后，获得该秘籍的概率。
StartUnlock	开局解锁	开局自动获得秘籍。
EsoWorldDrop	世界掉落	在历练中触发获得随机秘籍的奖励后，有可能获得此秘籍。
EquipModifier	装备效果	穿戴该装备所附加的特殊效果。
EsoModifier	秘籍效果	学习该秘籍所附加的特殊效果。
MaterialSelect	主材料	制造该物品所需的主材料类别。
BuildSelect	生产建筑	设定制作该物品所用的建筑。
MainCostItemCount	主材料数量	制造该物品所需的主材料的基础数量。（填写范围：1~999）
DanSelect	丹方	学习该秘籍可以习得的丹药配方。
ModSelect	模型	该武器的模型。
Ignorelimit	是否无视上限	该技能等级加成是否会突破20级的技能上限。
PpTypeSelect	类型	该属性的加成类型。
