ID	Flag	Desc	Txt	Pic	Link	Voice
ID	实装flag 无意义	介绍 无实际作用	内容	说明图片	链接到帮助系统的位置	语音
1	1	第一次选中角色	角色面板上显示了角色的[color=#D06508]饥饿度[/color]，[color=#D06508]情绪值[/color]等基本状态。玩家还可以通过角色面板上的[color=#D06508]互动按钮[/color]，对该角色发布直接的命令。	ui\Help2\001	21	m1
2	1	第一次点击屏幕下方的资源采集命令。	玩家可以通过屏幕下方发布资源采集命令：[color=#D06508]单击[/color]可以针对单个目标资源发布命令。 [color=#D06508]拖拽[/color]则可以对范围内的目标资源批量发布命令。	ui\Help2\002	33	m2
3	1	第一次点击屏幕下方的探索。	玩家可以通过探索命令标记迷雾中的一个地点，负责[color=#D06508]狩猎[/color]的角色就会尝试向目标点的方向探索。需要注意，探索会加倍消耗[color=#D06508]精力[/color]，精力只能通过睡眠恢复。	ui\Help2\003		m3
4	1	第一次选中植物/物品/矿物等	选中物品后，可以通过物品面板上方的互动按钮对该物品发出相关指令。当鼠标悬停在物品上时，则可以查看物品的详细信息。	ui\Help2\004		m4
5	1	第一次打开工作面板	可以在工作面板中安排外门弟子的工作内容。工作面板中的工作优先级[color=#D06508]从左往右降低[/color]，但玩家可通过[color=#D06508]特别优先[/color]来调整某位角色的工作优先级。内门弟子的行为不受工作面板约束。	ui\Help2\005	31	m5
6	1	第一次打开门派面板	当有一位角色筑基成功，成为内门弟子后，就可以在门派面板建立门派。玩家可以在门派面板中进行门派管理，门派数据的查阅，门派自动伙食的设定等操作。	ui\Help2\006	611	m6
7	1	第一次打开天下面板	当成功建立门派后，就可以在此界面派遣内门弟子外出历练。角色在历练中可以遭遇各种各样的奇遇，增强自身，闯出名号，并获取珍稀的资源。	ui\Help2\007	610	m7
8	1	第一次点击建筑按钮	可以在建筑面板查看当前可建的建筑，并发布建筑命令。随着游戏历程推进，会解锁更多建筑。注意，部分建筑需要[color=#D06508]工作点[/color]，摆放建筑时要注意给工作点留出空间。	ui\Help2\008	41	m8
9	1	第一次建造观星台	你已经建造观星台，现在可以通过左上角的太极盘查看风水了。 风水以间接的方式影响游戏的方方面面，是门派建设的重中之重。	ui\Help2\009	51	m9
10	1	第一次建造法宝台	你已经建造炼宝台，现在可以通过内门弟子角色面板上的炼宝按钮来炼制法宝了。任何物品都可以用来炼制法宝，不同的物品有不同的特质，炼制出的法宝属性偏向也不同。	ui\Help2\010	68	m10
11	1	第一次建造丹炉	你已经建造丹炉，现在可以通过内门弟子角色面板上的炼丹按钮来炼制丹药了。随着游戏历程推进，玩家可以获得新的丹方，角色只要研读丹方，就可以解锁新的丹药配方。	ui\Help2\011	68	m11
