ID	Content	WholeContent	TipDesc	Desc	Type	TypeLevel	ImportanceLevel	IsShowNpcTips	RemoveType	WorldSpeed	SameType	LocationType	Icon
	消息描述	同ID合并后描述	tips上显示的详细说明或进一步提示		事件类型（默认为空）	同类型事件等级（默认为0）	0提示 1信息 2警告（默认为0）	0不显示 1显示（默认为0）	0自动过期 1条件过期 2查看过期（默认为0）	0不处理 1暂停 2一档 3二挡 4三挡 （默认为0）	0SameR_DiffA  1Add  2Refresh（默认为0）	0None  1Happen  2Obj  3SelectObj（暂未使用）	
1	食物储量不足	食物储量不足							1		2		
2	药物储量不足	药物储量不足							1		2		
3	精元储量不足	精元储量不足							1		2		
4	夏季即将来临	夏季即将来临	请做好避暑准备				1		1		2		
5	冬季即将来临	冬季即将来临	请做好御寒准备				1		1		2		
6	敌人出现	敌人出现					2		1	2			res/Sprs/ui/msg_atk
7	{0}{1}正被攻击	门派正被攻击					2						res/Sprs/ui/msg_atk
8	着火了	着火了					2		1		2		
9	路人需要帮助	路人需要帮助					1		1				
10	敌人{0}正在试图抢走物品{1}	敌人正在试图抢走物品					1		2	2			res/Sprs/ui/msg_atk
11	敌人{0}抢走了物品{1}	敌人抢走了物品					2		2				
12	灵兽{0}出现	灵兽出现					1		1				
13	宝物坠落	宝物坠落					1		1				
14	仙人{0}_降临/离开	有仙人降临了											
15	{0}喜欢上{1}	有恋情发生											
16	{0}不再喜欢{1}	有恋情消失											
17	{0}表白{1}_成功并成为了恋人/失败	有人表白											
18	{0}劝说{1}_成功/失败	有人劝说											
19	废弃	废弃					1						
20	{0}情绪糟糕	有人情绪很糟糕					1	1	1				
21	{0}的情绪因为{1}开始恶化	有人情绪恶化了					2	1					
22	{0}心境不稳	有人心境不稳					1	1	1				
23	{0}：_倒地/昏迷/濒死	有人无法行动					2	1	1				
24	废弃	废弃					1	1	2				
25	{0}：死亡	有人死亡					2	1	1				
26	{0}：怠工	有人怠工					1	1	1				
27	{0}：怠工恢复	有人从怠工中恢复											
28	{0}需要狩猎武器	有人需要狩猎武器					1	1	2				
29	{0}需要砍伐工具	有人需要砍伐工具					1	1	2				
30	{0}需要开采工具	有人需要开采工具					1	1	2				
31	{0}需要农具	有人需要农具					1	1	2				
32	{0}的技能{1}升级了	技能升级											
33	{0}：入魔	有人入魔					2	1	1				
34	{0}筑基成功	有人筑基成功											
35	{0}遇到瓶颈	有人遇到瓶颈					1	1	1				
36	{0}瓶颈时间将近	有人瓶颈时间将近					2	1					
37	{0}瓶颈时间已到	有人瓶颈时间已到					2						
38	{0}炼制法宝{1}_成功/失败	有人炼宝					1						
39	炼丹_成功/失败	有人炼丹					1						
40	{0}拜{1}为师	有人拜师											
41	{0}对门派有些不满	有人对门派不满					2	1	1				
42	{0}历练归来	有人历练归来					1						
