ID	Name	Event	Hide	HardCore	fParam	sParam	Desc	Icon	SteamID	Dlc
ID	成就名字	事件	是否隐藏	硬核解锁	参数	参数	介绍	图标		
1	得道飞升	God_Count		1	1		累计1人飞升	res/Sprs/Achievement/icon_001	NEW_ACHIEVEMENT_8_13	
2	飞升达人	God_Count		1	3		累计3人飞升	res/Sprs/Achievement/icon_002	NEW_ACHIEVEMENT_8_14	
3	仙界熟客	God_Count		1	5		累计5人飞升	res/Sprs/Achievement/icon_003	NEW_ACHIEVEMENT_8_15	
4	仙名远扬	God_Count		1	10		累计10人飞升	res/Sprs/Achievement/icon_004	NEW_ACHIEVEMENT_1_0	
5	初出茅庐	Explore_Count		1	1		累计历练1次	res/Sprs/Achievement/icon_005	NEW_ACHIEVEMENT_8_16	
6	混迹红尘	Explore_Count		1	100		累计历练100次	res/Sprs/Achievement/icon_006	NEW_ACHIEVEMENT_8_17	
7	行遍千山	Explore_Count		1	500		累计历练500次	res/Sprs/Achievement/icon_007	NEW_ACHIEVEMENT_8_18	
8	驰骋天下	Explore_Count		1	1000		累计历练1000次	res/Sprs/Achievement/icon_008	NEW_ACHIEVEMENT_6_12	
9	初试炼丹	Dan_Count		1	1		累计炼丹1次	res/Sprs/Achievement/icon_009	NEW_ACHIEVEMENT_8_19	
10	炼丹熟手	Dan_Count		1	50		累计炼丹50次	res/Sprs/Achievement/icon_010	NEW_ACHIEVEMENT_8_20	
11	丹门高人	Dan_Count		1	100		累计炼丹100次	res/Sprs/Achievement/icon_011	NEW_ACHIEVEMENT_8_21	
12	大丹师	Dan_Count		1	500		累计炼丹500次	res/Sprs/Achievement/icon_012	NEW_ACHIEVEMENT_6_13	
13	初试炼宝	Refining_Count		1	1		累计炼宝1次	res/Sprs/Achievement/icon_013	NEW_ACHIEVEMENT_8_22	
14	炼宝熟手	Refining_Count		1	50		累计炼宝50次	res/Sprs/Achievement/icon_014	NEW_ACHIEVEMENT_8_23	
15	炼宝高手	Refining_Count		1	100		累计炼宝100次	res/Sprs/Achievement/icon_015	NEW_ACHIEVEMENT_8_24	
16	宝尊者	Refining_Count		1	500		累计炼宝500次	res/Sprs/Achievement/icon_016	NEW_ACHIEVEMENT_6_14	
17	初试画符	Fu_Count		1	1		累计画符1次	res/Sprs/Achievement/icon_017	NEW_ACHIEVEMENT_8_25	
18	画符熟手	Fu_Count		1	50		累计画符50次	res/Sprs/Achievement/icon_018	NEW_ACHIEVEMENT_8_26	
19	画符高手	Fu_Count		1	100		累计画符100次	res/Sprs/Achievement/icon_019	NEW_ACHIEVEMENT_8_27	
20	符圣手	Fu_Count		1	500		累计画符500次	res/Sprs/Achievement/icon_020	NEW_ACHIEVEMENT_6_15	
21	杀念初生	Kill_Count		1	1		累计击杀1名生灵	res/Sprs/Achievement/icon_065	NEW_ACHIEVEMENT_8_28	
22	杀意凛然	Kill_Count		1	100		累计击杀100名生灵	res/Sprs/Achievement/icon_066	NEW_ACHIEVEMENT_8_29	
23	杀气纵横	Kill_Count		1	500		累计击杀500名生灵	res/Sprs/Achievement/icon_067	NEW_ACHIEVEMENT_8_30	
24	杀神	Kill_Count		1	1000		累计击杀1000名生灵	res/Sprs/Achievement/icon_068	NEW_ACHIEVEMENT_6_16	
25	修真杀手	KillDisciple_Count		1	1		累计击杀修行者1人	res/Sprs/Achievement/icon_069	NEW_ACHIEVEMENT_8_31	
26	修真克星	KillDisciple_Count		1	100		累计击杀修行者100人	res/Sprs/Achievement/icon_070	NEW_ACHIEVEMENT_9_0	
27	修真屠夫	KillDisciple_Count		1	500		累计击杀修行者500人	res/Sprs/Achievement/icon_071	NEW_ACHIEVEMENT_9_1	
28	弑仙者	KillDisciple_Count		1	1000		累计击杀修行者1000人	res/Sprs/Achievement/icon_072	NEW_ACHIEVEMENT_6_17	
29	初试搜魂	SeachSoul_Count		1	1		累计搜魂1人	res/Sprs/Achievement/icon_073	NEW_ACHIEVEMENT_9_2	
30	搜魂熟手	SeachSoul_Count		1	10		累计搜魂10人	res/Sprs/Achievement/icon_074	NEW_ACHIEVEMENT_9_3	
31	搜魂高人	SeachSoul_Count		1	50		累计搜魂50人	res/Sprs/Achievement/icon_075	NEW_ACHIEVEMENT_9_4	
32	魂宗	SeachSoul_Count		1	100		累计搜魂100人	res/Sprs/Achievement/icon_076	NEW_ACHIEVEMENT_6_18	
33	厨师	Food_Count		1	10		累计做出10种食物	res/Sprs/Achievement/icon_080	NEW_ACHIEVEMENT_9_5	
34	大厨	Food_Count		1	20		累计做出20种食物	res/Sprs/Achievement/icon_081	NEW_ACHIEVEMENT_9_6	
35	食神	Food_Count		1	50		累计做出50种食物	res/Sprs/Achievement/icon_082	NEW_ACHIEVEMENT_6_19	
36	灵犀一闪	ArtItem_Count		1	1		累计做出7阶的艺术品1个	res/Sprs/Achievement/icon_088	NEW_ACHIEVEMENT_9_7	
37	灵思泉涌	ArtItem_Count		1	10		累计做出7阶的艺术品10个	res/Sprs/Achievement/icon_089	NEW_ACHIEVEMENT_9_8	
38	艺术家	ArtItem_Count		1	50		累计做出7阶的艺术品50个	res/Sprs/Achievement/icon_090	NEW_ACHIEVEMENT_6_20	
39	喜加一	Persuade_Count		1	1		累计说服1名旅人加入	res/Sprs/Achievement/icon_091	NEW_ACHIEVEMENT_9_9	
40	喜加五	Persuade_Count		1	5		累计说服5名旅人加入	res/Sprs/Achievement/icon_092	NEW_ACHIEVEMENT_9_10	
41	喜加十	Persuade_Count		1	10		累计说服10名旅人加入	res/Sprs/Achievement/icon_093	NEW_ACHIEVEMENT_9_11	
42	了解一下	Persuade_Count		1	20		累计说服20名旅人加入	res/Sprs/Achievement/icon_094	NEW_ACHIEVEMENT_6_21	
43	初学秘册	Esoterica_Count		1	1		累计通过书册学会1本秘籍	res/Sprs/Achievement/icon_099	NEW_ACHIEVEMENT_9_12	
44	博览群书	Esoterica_Count		1	10		累计通过书册学会10本秘籍	res/Sprs/Achievement/icon_100	NEW_ACHIEVEMENT_9_13	
