ID	Type	Desc	Addtion	Kind	RoomKind	fParam1	fParam2	sParam1	sParam2
	分类 如果为NotRandom则不参与随机	描述	加成系数	判定类型	RoomKind限制	数值参数1	数值参数2	字符参数1	字符参数2
1	A	房间拥有者均为凡人	1	OwnerGongStageLevel	BedRoom			None	None
2	A	房间拥有者均为练气	1	OwnerGongStageLevel	BedRoom			Qi	Qi
3	A	房间拥有者均为结丹	1	OwnerGongStageLevel	BedRoom			Dan1	Dan1
4	A	房间拥有者均为金丹	1	OwnerGongStageLevel	BedRoom			Dan2	Dan2
5	A	房间拥有者均为元神	1	OwnerGongStageLevel	BedRoom			God	God
6	A	房间拥有者均为在世真仙	4	OwnerGongStageLevel	BedRoom			God2	God2
7	B	房间拥有者均为内门弟子	1	OwnerRank	BedRoom			Disciple	
8	B	房间拥有者均为外门弟子	1	OwnerRank	BedRoom			Worker	
9	C	房间拥有者均为访客	1	OwnerIsVistor	BedRoom				
10	D	房间拥有者均为30岁以上	0.5	OwnerAge	BedRoom	30	99999		
11	D	房间拥有者均为90岁以上	1	OwnerAge	BedRoom	90	99999		
12	D	房间拥有者均为270岁以上	1	OwnerAge	BedRoom	270	99999		
13	D	房间拥有者均为810岁以上	4	OwnerAge	BedRoom	810	99999		
14	D	房间拥有者均为2430岁以上	8	OwnerAge	BedRoom	2430	99999		
15	D	房间拥有者均为30岁以下	2	OwnerAge	BedRoom	0	30		
16	D	房间拥有者均为90岁以下	1	OwnerAge	BedRoom	0	90		
17	D	房间拥有者均为270岁以下	1	OwnerAge	BedRoom	0	270		
18	D	房间拥有者均为810岁以下	0.5	OwnerAge	BedRoom	0	810		
19	D	房间拥有者均为2430岁以下	0.5	OwnerAge	BedRoom	0	2430		
20	D	房间拥有者总年龄小于100岁	2	OwnerSumAge	BedRoom	0	100		
21	D	房间拥有者总年龄小于200岁	1	OwnerSumAge	BedRoom	0	200		
22	D	房间拥有者总年龄小于500岁	1	OwnerSumAge	BedRoom	0	500		
23	D	房间拥有者总年龄小于1000岁	0.5	OwnerSumAge	BedRoom	0	1000		
24	D	房间拥有者总年龄大于500岁	1	OwnerSumAge	BedRoom	500	99999		
25	D	房间拥有者总年龄大于1000岁	1	OwnerSumAge	BedRoom	1000	99999		
26	D	房间拥有者总年龄大于2000岁	2	OwnerSumAge	BedRoom	2000	99999		
27	D	房间拥有者总年龄大于4000岁	4	OwnerSumAge	BedRoom	4000	99999		
28	E	房间拥有者均为男子	1	OwnerSex	BedRoom	1			
29	E	房间拥有者均为女子	1	OwnerSex	BedRoom	2			
30	E	房间拥有者男女皆有	2	OwnerSex	BedRoom	3			
31	F	房间归属于1人	1	OwnerCount	BedRoom	1	1		
32	F	房间归属于2人	1	OwnerCount	BedRoom	2	2		
33	F	房间归属于3人	1	OwnerCount	BedRoom	3	3		
34	F	房间归属者不小于3人	1	OwnerCount	BedRoom	3	99999		
35	F	房间归属者不小于5人	2	OwnerCount	BedRoom	5	99999		
36	F	房间归属者不超过3人	1	OwnerCount	BedRoom	0	3		
37	F	房间归属者不超过5人	1	OwnerCount	BedRoom	0	5		
38	G1	房间内至少有1张床	1	BuildingCount	BedRoom	1	99999		Sleep
39	G1	房间内至少有2张床	1	BuildingCount	BedRoom	2	99999		Sleep
40	G1	房间内至少有3张床	1	BuildingCount	BedRoom	3	99999		Sleep
41	G1	房间内最多有1张床	1	BuildingCount	BedRoom	0	1		Sleep
