Jobp	Action	RJob
EatShit	EatShit	EatItem
EatEssence	EatEssence	EatItem
EatDrug	EatDrug	EatItem
EatWheat	EatWheat	EatItem
EatDryMeat	EatDryMeat	EatItem
EatPear	EatPear	EatItem
EatMeat	EatMeat	EatItem
EatCook	EatCook	EatItem
Eat	EatWeight	EatItem
BiteBuilding	BiteBuilding	Bite
BiteClothes	BiteClothes	Bite
BiteOuter	BiteOuter	Bite
BiteInner	BiteInner	Bite
BiteVisitor	BiteVisitor	Bite
BiteIncoming	BiteIncoming	Bite
ShitAtShitPlace	ShitAtShitPlace	Shit
ShitAtPlants	ShitAtPlants	Shit
ShitAtDogHouse	ShitAtDogHouse	Shit
ShitAtStorage	ShitAtStorage	Shit
ShitOnBed	ShitOnBed	Shit
ShitInFarm	ShitInFarm	Shit
CarryOuterToBed	CarryOuterToBed	CarryToBed
CarryVisitorToDest	CarryVisitorToDest	CarryToDest
CarryEnemyToDest	CarryEnemyToDest	CarryToDest
CarryIncomingToDest	CarryIncomingToDest	CarryToDest
CarryEnemyBodyToDest	CarryEnemyBodyToDest	CarryToDest
CarryVisitorBodyToDest	CarryVisitorBodyToDest	CarryToDest
CarryIncomingBodyToDest	CarryIncomingBodyToDest	CarryToDest
HelpCarry	HelpCarry	HelpCarry
HelpTimber	HelpTimber	HelpTimber
HelpMine	HelpMine	HelpMine
HelpFind	HelpFind	HelpFind
HelpKill	HelpKill	HelpKill
FeedTongXie	FeedTongXie	FeedItem
CureInner	CureInner	CureInner
Pee	HelpPlant	PeeOnPlant
CureFreeze	CureFreeze	CureCold
CureHot	CureHot	CureHot
FastCook	FastCook	FastCook
HelpPlay	HelpPlay	HelpPlay
HealInner	HealInner	HealInner
PlayToy	PlayToy	PlayToy
TrainQiGan	TrainQiGan	TrainQiGan
TrainNeiDan	TrainNeiDan	TrainNeiDan
TrainHuTi	TrainHuTi	TrainHuTi
TrainLingZhi	TrainLingZhi	TrainLingZhi
TrainShuFa	TrainShuFa	TrainShuFa
AtkDizzyOuter	AtkDizzyOuter	Atk
AtkDizzyInner	AtkDizzyInner	Atk
AtkDizzyComing	AtkDizzyComing	Atk
AtkDizzyVisitor	AtkDizzyVisitor	Atk
PeeOnDPlant	HelpPlantD	PeeOnDPlant
CarryOuterBodyToDest	CarryOuterBodyToDest	CarryToDest
CarryInnerBodyToDest	CarryInnerBodyToDest	CarryToDest
Feed_Item_Dan_Happiness	Feed_Item_Dan_Happiness	FeedItem
Feed_Item_Dan_PracticeSpeed	Feed_Item_Dan_PracticeSpeed	FeedItem
Feed_Item_Dan_CalmDown	Feed_Item_Dan_CalmDown	FeedItem
Feed_Item_LingStone	Feed_Item_LingStone	FeedItem
Feed_Item_LingCrystal	Feed_Item_LingCrystal	FeedItem
BiteExpel	BiteExpel	Bite
BiteBuildingEX	BiteBuilding	BiteEx
BiteClothesEX	BiteClothes	BiteEx
BiteOuterEX	BiteOuter	BiteEx
BiteInnerEX	BiteInner	BiteEx
BiteVisitorEX	BiteVisitor	BiteEx
BiteIncomingEX	BiteIncoming	BiteEx
CarryMortalToDest	CarryMortalToDest	CarryToDest
CarryMortalBodyToDest	CarryMortalBodyToDest	CarryToDest
Eat_Item_SnakeGallbladder	Eat_Item_SnakeGallbladder	EatItem
Eat_Item_BearGallbladder	Eat_Item_BearGallbladder	EatItem
