Action	L1	L2	L3	L4	L5
BiteBuilding	1	-1	-1	-2	-3
BiteClothes	1	-1	-1	-2	-3
BiteOuter	1	-1	-1	-2	-3
BiteInner	1	-1	-1	-2	-3
BiteVisitor	1	-1	-1	-2	-3
BiteIncoming	1	-1	-1	-2	-3
AtkEnemy	1	-1	-1	-2	-3
AtkDizzyOuter	1	-1	-1	-2	-3
AtkDizzyInner	1	-1	-1	-2	-3
AtkDizzyComing	1	-1	-1	-2	-3
AtkDizzyVisitor	1	-1	-1	-2	-3
CarryOuterToBed	-1	1	1	2	3
CarryVisitorToDest	0	0	0	0	0
CarryEnemyToDest	0	0	0	0	0
CarryIncomingToDest	0	0	0	0	0
CarryEnemyBodyToDest	1	-1	-1	-2	-3
CarryVisitorBodyToDest	1	-1	-1	-2	-3
CarryIncomingBodyToDest	1	-1	-1	-2	-3
CarryOuterBodyToDest	1	-1	-1	-2	-3
CarryInnerBodyToDest	1	-1	-1	-2	-3
HelpCarry	-1	1	1	2	3
HelpTimber	-1	1	1	2	3
HelpMine	-1	1	1	2	3
HelpFind	0	0	0	0	0
HelpKill	1	-1	-1	-2	-3
HelpPlant	-1	1	1	2	3
HelpPlantD	-1	1	1	2	3
CureFreeze	-1	1	1	2	3
CureHot	-1	1	1	2	3
HeatEndure	-1	1	1	2	3
ColdEndure	-1	1	1	2	3
HelpPlay	-1	1	1	2	3
FeedTongXie	1	-1	-1	-2	-3
CureInner	-1	1	1	2	3
Feed_Item_Dan_Happiness	-1	1	1	2	3
Feed_Item_Dan_PracticeSpeed	-1	1	1	2	3
Feed_Item_Dan_CalmDown	-1	1	1	2	3
Feed_Item_LingStone	-1	1	1	2	3
Feed_Item_LingCrystal	-1	1	1	2	3
BiteExpel	1	-1	-1	-2	-3
CarryMortalToDest	0	0	0	0	0
CarryMortalBodyToDest	1	-1	-1	-2	-3
EatShit	1	-1	-1	-2	-3
ShitAtShitPlace	-1	1	1	2	3
ShitAtDogHouse	1	-1	-1	-2	-3
ShitAtStorage	1	-1	-1	-2	-3
ShitOnBed	1	-1	-1	-2	-3
ShitInFarm	1	-1	-1	-2	-3
ShitAtPlants	1	-1	-1	-2	-3
