ID	Race	Grades	Sex	Name	Desc	Hide	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	F1	F2	F3	F4	F5	F6
ID	种族	阶段 0童年 1成年 2重大事件 	性别 0均可 1男 2女	名字	描述	在自定义中隐藏	触发开始年份	感知	体质	魅力	悟性	运气	战斗	气感	社交 （所有技能等级后面可以附加,X。X为热爱程度 1为热爱 2为痴迷）	医术	厨艺	建筑	农事	采掘	艺术	制造	斗法	丹器	御物	术法	护体	特性1	特性2	特性3	特性4	特性5	特性6
-1	Human			神秘背景	[NAME]的故事已经遗失，没有人知道任何信息。(模组丢失)	1	-1																										
1	Human	0	0	私塾学子	[NAME]的童年受到过完整的文化教育。私塾学习的经历让[IT]了解了很多知识，也让[IT]充满文质彬彬的书卷气息。		0			2	1				1			2	2			2						Reader					
2	Human	0	0	孩子王	[NAME]出生在一个小山村，从小就调皮捣蛋，且富有领导力。[IT]经常领着一群孩子上山下地的玩耍，和邻村孩子打架。		0	1	1	1			2															Affinity					
3	Human	0	0	父母双亡	[NAME]自小失去父母，流浪为生。艰苦的生活给与[IT]超出同龄人的体魄与反应。		0	3	1	-1		-1	2			1				1								BanParents					
4	Human	0	0	失忆儿童	[NAME]小时候的记忆全部空白，每当[IT]尝试回忆，都会被剧烈的头痛打断。为了探索真相，[NAME]花了很多功夫研究文献传说，虽然至今没有找到原因，但是这些知识至少让[IT]拥有丰富的谈资。		0			2	1			2	2	2												BanParents					
5	Human	0	1	大少爷	[NAME]是富贵人家的长子，享受着奢华的童年。[IT]从不干粗活，接受过非常完善而全面的教育。		0	1	1	1					3	2					2	2						NoHeavyWork	BanParents	HealthMaintain1			
6	Human	0	2	大小姐	[NAME]是富贵人家的长女，享受着奢华的童年。[IT]从不干粗活，接受过非常完善而全面的教育。		0	1	1	1					3	2					2	2						NoHeavyWork	BanParents	HealthMaintain1			
7	Human	0	0	书香门第	[NAME]出生在书香门第，从小接受文化的熏陶。但是常年的舞文弄墨也让[NAME]缺乏锻炼，身体比较瘦弱。		0		-1	-1	1		-2								3							Reader		HealthMaintain1			
8	Human	0	0	武林世家	[NAME]出身武术世家，自小接受严格的训练。在耳濡目染之下，对战斗的领悟非常深刻。		0	1	2				4,2			2												Warrior	Masculinity				
9	Human	0	0	少年杀手	[NAME]是个孤儿，童年时期被杀手组织收养，一直接受冷血而残酷的杀手训练。直到杀手组织被毁灭才得以脱离组织。		0	3					4															BanParents	Warrior				
10	Human	0	1	青楼孩童	[NAME]出生在青楼中，不知道自己的父亲是谁。自小在市井间摸爬滚打让[IT]更懂得生存的规则。		0	2			1																	BanParents					
11	Human	0	0	工匠家庭	[NAME]在一个手艺人家庭中长大，耳濡目染之下，[IT]从小就喜欢动手做一些小东西。		0	1														4,1						Craftsman					
12	Human	0	0	屠夫的孩子	[NAME]在一个屠户家庭中长大，[IT]有时候也会帮着家里干活。这些经历让[IT]又凶又壮。		0		2								3											UglyFace1					
13	Human	0	1	农户长子	[NAME]是一个农民家庭的长子，家庭的艰难让[IT]从小就很懂事，力所能及的参与劳作。		0	1	1	-2							1		2	1		1											
14	Human	0	0	郎中学徒	[NAME]从小跟着一个游方郎中长大，[IT]们的足迹从南到北，踏过许多地方。这些经历让[IT]见多识广。		0		1		1					2,1	2																
15	Human	0	0	官宦世家	[NAME]出身在官宦家庭，见惯了权力斗争的虚情假意。[IT]从小就特别擅长博得别人好感，但是也从来不会交心。		0			3	1				4													Distrust					
16	Human	0	0	观星者	[NAME]出生在一个天文官家庭中，受父亲影响，[IT]从小就对星象感兴趣。为此[IT]的童年沉浸在星图和理论书籍中。		0	-1	-1	-1	2			2	-2	-2	-2	-2	-2	-2	-2	-2						Reader					
17	Human	0	0	游历各国	[NAME]的父亲是朝廷出使西域的使者，[IT]经常跟着父亲游历各国，这让[IT]对世界充满向往和兴趣。		0				1				2	2	2				2												
18	Human	0	1	娈童	[NAME]是富贵人家豢养的娈童，这段童年的经历让[IT]内心对男人与女人的亲密关系都感到惧怕。		0			2							4		-4	-4	2	2						BeautifulFace1	BanSpouse				
