ID	Type	Kind	Rate	Times	Content	FlagID
	0无，1玄穹录，2群仙册，3红尘记，4轮回书	轮训周期：Start,End,KeyEvet1,KeyEvet2,KeyEvet3,KeyEvet4,MajorEvnt	权重	时间区间（天数）	故事内容	
1	1	Start	10	24|24	    [NAME]历尽世间劫，终于超脱凡间，飞升上九灵天之界。	
2	1	End	10		    [NAME]游历仙界之时，机缘巧合下误食奇物[DAN1]。然而意料之外的是，此物竟然是混沌化生的异种，[NAME]服用之后道行暴增，竟无法压制，终于和光同尘，身化天道。	
3	1	End	10		    [NAME]于仙界游历时，偶然得知了大罗金仙之玄妙。原来仙人虽皆逍遥，但其中成就亦有不同，只有于人间诸态圆满后方能证就大罗，于混沌外开辟世界。[NAME]对此顿生向往，为求证大罗，毅然重入轮回。	
4	1	End	10		    [NAME]于仙界潜修多年，终于触碰到天仙境界的门槛。然而其心境修为有缺，在突破轮回定境中迷失，仙家修为一朝散尽，重新坠入轮回之中。	
5	1	End	10		    [NAME]游历仙界多年，终于决定不再奔波，便于[PLACE1]寻找一块宝地归隐，从此仙踪难觅，自在逍遥。	
6	1	End	10		    [NAME]在游历仙界的过程中屡次参与仙家争端，终于难断业缘，在一次闭关中仙心失守，形神逸散，重入轮回。	
7	1	End	10		    [NAME]在仙界与魔物的战争中不幸沾染魔息，待到发觉之时已然无法可救。为防止彻底魔染化为魔物，[NAME]只能散尽修为，重入轮回。	
8	1	End	10		    [NAME]游历到[PLACE1]时，于此地发现名为[EVENT1]的天地异像。为体悟此中玄妙，[NAME]决定在附近虚空中开辟洞府，驻扎下来。\n    在一次参悟中，异像忽然异变爆发，[NAME]一时不察，心神为之所摄，全身仙力循此奇观而化，被摄入天地异像中，再无踪迹。	
9	1	End	10		    [NAME]于仙界潜修多年，终于触碰到天仙境界的门槛。然而其法力洗练不足，虽然度过轮回定境，但在重塑无漏仙体的过程中力有不逮。[NAME]不愿成为灵仙苟活，便自散修为，重入轮回。	
