ID	race	sex	path	x	y	rotation	scale

1	mao	1	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	260	261	0	1
2	mao	1	res/Sprs/rolepainting/monster_half-monster_Man_mao01_shushengmao01	256	256	0	1
3	mao	1	res/Sprs/rolepainting/man-LH001_YinJ05	263	253	0	1
4	mao	1	res/Sprs/rolepainting/man-LH001_BH01	258	249	0	1
5	mao	1	res/Sprs/rolepainting/man-LH001_YinJ03	271	266	5	1
6	mao	1	res/Sprs/rolepainting/man-LH001_BH02	272	208	0	1
7	mao	1	res/Sprs/rolepainting/man-LH001_YinJ01	273	283	20	1
8	mao	1	res/Sprs/rolepainting/man-LH001_YinJ02	272	279	15	1
9	mao	1	res/Sprs/rolepainting/man-LH001_YinJ04	268	264	5	1
10	mao	1	res/Sprs/rolepainting/man-LH001_BH03	246	265	0	0.8
11	mao	1	res/Sprs/rolepainting/monster_half-monster_Man_mao01	256	256	0	1
12	mao	1	res/Sprs/rolepainting/man-LH001_BH04	271	239	-10	1
13	mao	1	res/Sprs/rolepainting/man-LH001_BH05	256	256	0	1
14	mao	1	res/Sprs/rolepainting/man-LHman_SS01	278	233	0	1
15	mao	1	res/Sprs/rolepainting/man-LHman_SS02	255	249	0	1
16	mao	1	res/Sprs/rolepainting/man-LHman_SS03	265	249	0	1
17	mao	1	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	256	248	-10	1
18	mao	1	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	247	293	0	1
19	mao	1	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	265	231	0	1
20	mao	2	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	270	268	0	1
21	mao	2	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	269	265	0	1
22	mao	2	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	257	261	-20	1.1
23	mao	2	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	273	239	0	1
24	mao	2	res/Sprs/rolepainting/man-LH001_YinJ04	256	256	0	1
25	mao	2	res/Sprs/rolepainting/man-LH001_BH04	190	365	150	1
26	mao	2	res/Sprs/rolepainting/man-LH001_YinJ02	282	278	15	1
27	mao	2	res/Sprs/rolepainting/man-LH001_BH03	252	294	10	0.68
28	mao	2	res/Sprs/rolepainting/lady-LHlady_SS02	270	258	0	1
29	mao	2	res/Sprs/rolepainting/lady-LHlady_SS03	261	248	0	1
30	mao	2	res/Sprs/rolepainting/man-LH001_YinJ03	283	277	10	1
31	mao	2	res/Sprs/rolepainting/man-LH001_YinJ01	288	275	15	1
32	mao	2	res/Sprs/rolepainting/monster_half-monster_lady_mao01	256	256	0	1
33	mao	2	res/Sprs/rolepainting/man-LH001_BH01	234	306	0	1
34	mao	2	res/Sprs/rolepainting/lady-LHlady_SS01	251	256	0	1
35	mao	2	res/Sprs/rolepainting/man-LH001_BH02	307	334	80	0.8
36	mao	2	res/Sprs/rolepainting/man-LH001_BH05	260	229	0	1
37	laohu	0	res/Sprs/rolepainting/man-LH001_BH03	231	256	0	0.7
38	laohu	0	res/Sprs/rolepainting/man-LH001_YinJ02	276	240	0	1
39	laohu	0	res/Sprs/rolepainting/monster_half-monster_TY_laohu01	256	256	0	1
40	laohu	0	res/Sprs/rolepainting/monster_half-monster_TY_laohu01_old	256	256	0	1
41	laohu	0	res/Sprs/rolepainting/man-LH001_BH01	226	289	0	1
42	laohu	0	res/Sprs/rolepainting/man-LH001_BH02	178	202	0	1
43	laohu	0	res/Sprs/rolepainting/man-LH001_BH04	268	247	0	1
44	laohu	0	res/Sprs/rolepainting/man-LH001_BH05	189	206	0	1
45	laohu	0	res/Sprs/rolepainting/man-LHman_SS01	286	213	0	1
46	laohu	0	res/Sprs/rolepainting/man-LHman_SS02	289	253	0	1.2
47	laohu	0	res/Sprs/rolepainting/man-LHman_SS03	303	278	0	1.1
48	laohu	0	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	229	266	0	0.8
49	laohu	0	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	254	255	-10	0.8
50	laohu	0	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	263	242	0	0.8
51	laohu	0	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	218	297	0	0.8
52	gui	0	res/Sprs/rolepainting/monster_half-monster_TY_Lpohuaiyan01	230	252	0	0.7
53	gui	0	res/Sprs/rolepainting/monster_half-monster_TY_Rpohuaiyan01	302	210	0	0.8
54	gui	0	res/Sprs/rolepainting/man-LH001_YinJ01	300	224	0	1
55	gui	0	res/Sprs/rolepainting/monster_half-monster_TY_gui01	256	256	0	1
56	gui	0	res/Sprs/rolepainting/monster_half-monster_TY_gui01_douli01	256	256	0	1
57	gui	0	res/Sprs/rolepainting/man-LH001_BH02	209	187	0	1
58	gui	0	res/Sprs/rolepainting/man-LH001_BH01	264	255	0	1
59	gui	0	res/Sprs/rolepainting/man-LH001_BH03	275	216	0	0.7
60	gui	0	res/Sprs/rolepainting/man-LH001_BH04	231	303	160	0.8
61	gui	0	res/Sprs/rolepainting/man-LH001_BH05	233	199	0	1
62	gui	0	res/Sprs/rolepainting/man-LHman_SS01	308	255	0	1.2
63	gui	0	res/Sprs/rolepainting/man-LHman_SS02	303	280	0	1
64	gui	0	res/Sprs/rolepainting/man-LHman_SS03	305	274	0	1.1
65	gui	0	res/Sprs/rolepainting/monster_half-monster_TY_Lyanzhao01	230	234	0	0.6
66	gui	0	res/Sprs/rolepainting/monster_half-monster_TY_Ryanzhao01	276	219	-30	0.7
67	xiong	0	res/Sprs/rolepainting/monster_half-monster_TY_xiong01	256	256	0	1
68	xiong	0	res/Sprs/rolepainting/man-LH001_BH02	250	169	0	1.2
69	xiong	0	res/Sprs/rolepainting/man-LH001_BH03	270	244	0	1
