ThingName	DLC

RedWallDownLeftS	1
RedWallUpLeftS	1
RedWallMidUpS	1
RedWallMidRightS	1
RedWallVerticalS	1
RedWallVerticalHalfS	1
RedWallHorizontalS	1
RedWallDownLeftTinyS	1
RedWallUpLeftTinyS	1
LsXuanWu_Carve	1
ZhenWuCarve	1
TurTleMonu	1
IncenseTripod	1
DragonIncense	1
RedWallDownLeft	1
RedWallDownLeft2	1
RedWallUpLeft	1
RedWallUpLeft2	1
RedWallMidUp	1
RedWallMidUp2	1
RedWallMidRight	1
RedWallMidRight2	1
RedWallVertical	1
RedWallVerticalHalf	1
RedWallHorizontalHalf	1
RedWallHorizontal	1
RedWallDownLeftTiny	1
RedWallUpLeftTiny	1
RedWallGate_Part	1
RedWallGate	1
RedWallDrum	1
WuDangBigGate	1
WuDangScreen	1
WuDangFlag	1
WuDangXiangLu	1
WuDangPuTuan	1
WuDangXianHeDeng	1
WuDangDivine	1
WuDangJinDian	1
WuDangXuanWuDeng	1
Building_ChaShu1	1
Building_ChaShu2	1
Building_WuDangSong1	1
Building_WuDangSong2	1
Building_WuDangSong3	1
Building_WuDangSong4	1
Table_TaiZi	1
Building_BigSwordPillar_ZiXiao	1
Building_XiaoDanLu1_ZiXiao	1
Building_ShiBei_ZiXiao	1
LsPanda_Carve	0
BambooBed	0
Building_BambooScreen1	0
Building_WaterWheel	0
Building_BambooScreen2	0
BambooLight	0
Building_BambooPavilion	0
Item_BambooShoot	0
Item_Bamboo	0
Item_FishStick	0
Item_PandaJade	0
Item_HorseFromJY_Panda	0
Item_WuDang_HuangJing	1
Item_WuDang_HuangJingFen	1
Item_WeaponFuChen	1
Item_WeaponDaoSword	1
Item_XuanTianShangDiPai	1
Item_Dan_WuQiNoHunger2	1
Item_Dan_SanHuaHuangJing	1
Item_MiBao_ZhenWuDangMoShenJian	1
Item_MiBao_ZiXiaoChi	1
Fish_SkySnake	1
Fish_SkyFish	1
Fish_SkyCrab	1
Item_XuanWuEgg	1
Item_Wonder_ZhenWuShenNian	1
FishBase	0
Fish_StoneCrab	0
Fish_Ji	0
Fish_t6	0
Fish_t8	0
Fish_s3	0
Fish_s7	0
Fish_s9	0
Fish_ChillyCrab	0
Fish_BaiHuang	0
Fish_s1	0
Fish_r6	0
Fish_QingHei	0
Fish_t2	0
Fish_s2	0
Fish_r8	0
Fish_s5	0
Fish_t1	0
Fish_t5	0
Fish_r2	0
Fish_r1	0
Fish_r11	0
Fish_FenLi	0
Fish_t11	0
Fish_r3	0
Fish_Black	0
Fish_BlueFish	0
Fish_Huang	0
Fish_HongHuang	0
Fish_r13	0
Fish_RedFish	0
Fish_t10	0
Fish_JadeCrab	0
Fish_s6	0
Fish_r5	0
Fish_r12	0
Fish_XieLi	0
Fish_t3	0
Fish_s4	0
Fish_s11	0
Fish_FireCrab	0
Fish_HongGui	0
Fish_t4	0
Fish_s10	0
Fish_r4	0
Fish_r7	0
Fish_t7	0
Fish_t9	0
Fish_t12	0
Fish_s12	0
Fish_s8	0
Fish_r9	0
Fish_r10	0
Shrimp1	0
Shrimp2	0
Shrimp3	0
Shrimp4	0
Shrimp5	0
Shrimp6	0
Shrimp7	0
Shrimp8	0
Shrimp9	0
Shrimp10	0
Shrimp11	0
Shrimp12	0
Item_BambooLeftover	0
Panda_NormalAttack	0
JYPanda_NormalAttack	0
LsPanda1_NormalAttack	0
LsPanda2_NormalAttack	0
XuanWu_NormalAttack	1
XuanWu_NormalAttack2	1
WuDangYa_NormalAttack	1
Plant_Bamboo	0
DLC_Plant_HuangJing	1
