ID	Kind	Name	WorldFlag	Weight	UnLockLevel	PopTip	Desc	ClassName	sParam1	fParam1	sParam2	fParam2	sParam3	fParam3	sParam4	fParam4	FromFightMap	MsgShowType	RuntimeFlag
ID	类型 空：被动触发	名字	对WorldFlag的要求		解锁等级	事件发生时弹出默认提示 0不开 1开启 	介绍	类名	(天气:s天气类型)  (进攻:进攻富有等级) (妖兽:妖兽种族) (宝物:物品类型lable 权重:ID|ID.)  (角色:数据名字) (秘闻:随机秘闻ID|ID) (路人：行为描述)(动物进攻：种族)（精怪来临：精怪类型）	（天气：1为100%，通灵概率）（进攻:强度等级加成(默认等级+系数)）（ 妖兽:持续时间） （宝物:最小品阶 权重:值）(角色:0心情 1modifier) (拜师：数量)(路人：数量)(动物进攻：最少个数)	(路人：附加标记)（精怪来临：具体名称  用|隔开。必须要有种族）	（宝物:最大品阶）  （进攻:持续时间秒） （权重:持续时间(天)） （角色：0玩家角色 1所有角色）(路人：类型 1普通2拜师3暂住 10内门强住)(动物进攻：最大个数)					会从战斗地图带回来	消息类型，用于消息管理	
1	Lv1	晴天		1		1	    天气变的十分晴朗，不知这好天气会持续多久。	EventWeather	SunnyDay									t1	
2	Lv1	阴天		1		1	    天空变的阴沉沉的，不知这阴天会持续多久。	EventWeather	Overcast									t1	
3	Lv1	小雨		1		1	    一场小雨来临。	EventWeather	LightRain									t1	
4	Lv1	大雨		1		1	    一场大雨来临。	EventWeather	HeavyRain									t1	
5	Lv1	大雾		1		1	    突然起了一场大雾。	EventWeather	DenseFog									t1	
6	Lv1	愁绪弥漫		1		1	    一阵莫名的愁绪在门派中蔓延开来。	EventWeather	Melancholy									t1	
7	Lv2	暧昧的气息		7		1	    一股暧昧的气息在门派中蔓延开来。	EventWeather	Ambiguous									t1	
8	Lv2	浮躁之风		7		1	    一股浮躁的风气突然在门派中蔓延起来。	EventWeather	Impetuous									t1	
9	Lv2	冰雹		0		1	    一场冰雹袭来。（未实装）	EventWeather	Impetuous									t1	
10	Lv2	梅雨		7		1	    一场梅雨来临。	EventWeather	MouldRains									t1	
11	Lv2	干旱		7		1	    一场干旱来临。	EventWeather	Drought									t1	
12	Lv2	暴雨		7		1	    一场猛烈的暴风雨袭来，天地间的水属性异常活跃。	EventWeather	Rainstorm	0.3								t2	NO_MoreElementWeather
13	Lv2	焚风		7		1	    一场炎热的焚风刮来，天地间的火属性异常活跃。	EventWeather	Fohn	0.3								t2	NO_MoreElementWeather
14	Lv2	尘暴		7		1	    一场尘暴席卷而来，天地间的土属性异常活跃。	EventWeather	DustStorm	0.3								t2	NO_MoreElementWeather
15	Lv2	灵气枯潮		7		1	    不知道什么原因，天地间的灵气进入了短暂的低潮。	EventWeather	LingRarefiedWave									t2	NO_LessLingWeather
16	Lv3	酷暑		1	4	1	    酷暑来临，这个夏天将会格外炎热，注意避暑。	EventWeather	HeatWave									t2	
17	Lv3	凛冬		1	4	1	    凛冬将至，这个冬天将会格外寒冷，注意保暖。	EventWeather	ColdWave									t2	
18	Lv3	永夜		1	4	1	    一股妖云遮天蔽日，将持续一段时间不见阳光。	EventWeather	PermanentNight									t2	
19	Lv3	瘟气		1	4	1	    一场瘴气笼罩整个地区，天地间的木属性异常活跃。	EventWeather	Miasma	0.3								t2	NO_MoreElementWeather
20	Lv3	雷暴		1	4	1	    一场雷暴降临，天地间的金属性异常活跃。	EventWeather	LightningStorm	0.3								t2	NO_MoreElementWeather
21	Lv3	妖兽		2		1	    一只蜚出现在附近，带来持续的阴雨和疾病。	EventMonster	Fei	3600									
22	Lv3	妖兽		2		1	    一只鹿蜀出现在附近，带来晴朗的天气和祥瑞之氛围。	EventMonster	Lushu	3600									
23	Lv3	奇怪的小妖精		4		1	    一群来自异界的小妖带着来一些财宝四处游荡，路过你的门派。这些小妖虽然十分胆小，但似乎是两界法则不同，修仙界的常用手段无法影响到它们，因此这些家伙常常肆无忌惮的四处游荡。若想从他们手中得到这些宝物，还需要想想办法。	EventSpringXiaoYao	Lushu	3600									
24	Lv3	妖兽		0	4	1	    妖兽D出现在附近。	EventMonster	Null										
25	Lv2	宝物		7	4	1	    天边飞来一道光华落在附近，不知是什么东西。	EventItemDrop	FightFabao	4		6						t3	
26	Lv2	宝物		7	5	1	    不远处的天空发生了一场激烈的斗法，有什么东西落到了附近。	EventItemDrop	FightFabao	6		8						t3	
27	Lv3	宝物		1	5	1	    附近突然有一道宝光直冲斗牛，似乎有什么宝物现世了。	EventItemDrop	FightFabao	8		10						t3	
28	Join	难民路过		5		0	    一名逃避战乱的难民路过此地，[IT]希望加入你们。	EventJoin	Human									t_vistor	NO_LessWalker
29	Secrets	秘闻		11	4	0		EventSecret	1										
30	Secrets	秘闻		11	4	0		EventSecret	2										
31	Secrets	秘闻		11	4	0		EventSecret	3										
32	Secrets	秘闻		11	4	0		EventSecret	4										
33	Secrets	秘闻		11	4	0		EventSecret	5										
34	Enemy	进攻		2		1	    一群来自南荒丛林的蛮人对你发动袭击。	EventAttack	Poorest		Human	300						t6	
35	Enemy	进攻		2		1	    一群在江湖中四处流窜，以劫掠为生的强盗对你发动袭击。	EventAttack	Poor		Human	300						t6	
36	Enemy	进攻		2	4	1	    一群来自东海的散修觊觎你的财产，对你发动袭击。	EventAttack	Normal	1	Human	300						t6	
37	EnemyLv2	强力进攻		3	5	1	    一群西域的邪派修行者对你发动袭击。	EventAttack	Rich	1	Human	300						t6	
38	EnemyLv2	强力进攻		3	5	1	    一些四处游荡的邪派弟子攻打你的门派。	EventAttack	Richest	1	Human	300						t6	
39	EnemyLv2	强力进攻		3	5	1	    一伙强大的修行者前来攻击你的门派。	EventAttack	Normal	2	Human	300						t6	
40	EnemyLv2	强力进攻		3	5	1	    一群凶名昭著的邪派修行者来袭击你的门派。	EventAttack	Normal	2	Human	300						t6	
41	Lv3	时代开启		2	5	1	    最近南荒发生地裂之灾，大量的南荒蛮人和强盗流窜出来。	EventWeight	33|34	1000		6							
42	Join	仙友来访		5	4	0	    一名仙友来拜访你的门派，他大概是想住几天。	EventVisitor	仙友来访	10	Human							t_vistor	
43	Join	迷路的路人		5		0	    一名路人在附近迷了路，[IT]希望得到我们的帮助。	EventWalker	迷路的路人			1	Human					t_vistor	NO_LessWalker
44	Join	好奇的路人		5		0	    一名充满好奇的路人偶然到了这里，[IT]特别想知道我们到底在干什么。	EventWalker	好奇的路人			1	Human					t_vistor	NO_LessWalker
45	Join	受伤的路人		5		0	    一名路人受伤了，[IT]希望临时留下来休息并得到我们的帮助。	EventWalker	受伤的路人		RandomDamage	3	Human					t_vistor	NO_LessWalker
46	Lv1	小雪		1		1	    一场小雪来临。	EventWeather	LightSnow									t1	
47	Lv1	大雪		1		1	    一场大雪来临。	EventWeather	HeavySnow									t1	
48	Lv2	观察者		20		0	    一名修行者正在观察你们，似乎并没有恶意。	EventVisitor	观察者	11	Human							t_vistor	
49	Enemy	野兽来袭		1	5	1	    一群饥饿的狼出现在附近，它们充满了敌意。	EventAnimalAttack	Wolf	4		9						t5	
50	Enemy	野兽来袭		0	5	1	    一群发狂的兔子出现在附近，它们充满了敌意。	EventAnimalAttack	Rabbit	8		15						t5	
51	Enemy	野兽来袭		1	5	1	    一群充满攻击性的蛇出现在附近，它们充满了敌意。	EventAnimalAttack	Snake	3		7						t5	
52	Enemy	野兽来袭		1	5	1	    一群狂暴的野猪出现在附近，它们充满了敌意。	EventAnimalAttack	Boar	4		7						t5	
53	Secrets	秘闻		11	4	0		EventSecret	6										
54	Secrets	秘闻		11	4	0		EventSecret	7										
55	Secrets	秘闻		11	4	0		EventSecret	8										
56	Secrets	秘闻		11	4	0		EventSecret	9										
57	Secrets	秘闻		11	4	0		EventSecret	10										
58	Secrets	秘闻		11	2	0		EventSecret	11										
59	Secrets	秘闻		11	2	0		EventSecret	11										
61	Secrets	秘闻		11	4	0		EventSecret	14										
62	Secrets	秘闻		11	4	0		EventSecret	15										
63	Secrets	秘闻		11	4	0		EventSecret	16										
64	Secrets	秘闻		11	4	0		EventSecret	17										
65	Secrets	秘闻		11	4	0		EventSecret	18										
66	Secrets	秘闻		11	4	0		EventSecret	19										
67	Secrets	秘闻		11	4	0		EventSecret	20										
68	Secrets	秘闻		11	4	0		EventSecret	21										
69	Secrets	秘闻		11	4	0		EventSecret	22										
70	Secrets	秘闻		1	4	0		EventSecret	29										
71	Secrets	秘闻		1	4	0		EventSecret	30										
72	Secrets	秘闻		1	4	0		EventSecret	31										
73	Secrets	秘闻		1	4	0		EventSecret	32										
74	Secrets	秘闻		1	4	0		EventSecret	33										
75	Secrets	秘闻		1	4	0		EventSecret	34										
80	Lv3	暖流		1	4	1	    冬日之中，一股暖流经过此地，这个冬天将会温和很多。	EventWeather	HeatWaveInWinter									t2	
81	Lv3	凉风		1	4	1	    夏日之中，一股寒流经过此地，这个夏天将会凉爽很多。	EventWeather	ColdWaveInSummer									t2	
82	Lv1	丰收的气息		8		1	    丰收的气息弥漫开来。	EventWeather	HarvestAir									t2	
83	Lv2	灵气爆发		7		1	    不知道什么原因，天地间的灵气突然爆发了。部分植物受此侵染，化为灵木。	EventWeather	LingUpWave	0.3								t2	NO_LessLingWeather
84	Secrets	秘闻		4	4	0		EventSecret	49										
85	Lv1	春天的气息		8		1	    春天的气息弥漫开来。	EventWeather	SpringAir									t2	
86	EnemyLv2	妖兽入侵		2	5	1	    一些兔妖出现在附近，它们充满敌意。	EventYaoShouAttack	JYRabbit		TongYong_DropList							t7	
87	EnemyLv2	妖兽入侵		2	5	1	    一些狼妖出现在附近，它们充满敌意。	EventYaoShouAttack	JYWolf		TongYong_DropList							t7	
88	EnemyLv2	妖兽入侵		2	5	1	    一些蛇妖出现在附近，它们充满敌意。	EventYaoShouAttack	JYSnake		TongYong_DropList							t7	
89	EnemyLv2	妖兽入侵		2	5	1	    一些猪妖出现在附近，它们充满敌意。	EventYaoShouAttack	JYBoar		TongYong_DropList							t7	
90	EnemyLv2	妖兽入侵		2	5	1	    一些熊妖出现在附近，它们充满敌意。	EventYaoShouAttack	JYBear		TongYong_DropList							t7	
91	EnemyLv2	妖兽入侵		2	5	1	    一些巨蛙出现在附近，它们充满敌意。	EventYaoShouAttack	JYFrog		TongYong_DropList							t7	
92	EnemyLv2	妖兽入侵		2	5	1	    一些巨龟出现在附近，它们充满敌意。	EventYaoShouAttack	JYTurtle		TongYong_DropList							t7	
93	EnemyLv2	妖兽入侵		10	5	1	    一些妖兽出现在附近，它们充满敌意。	EventYaoShouAttack		1	TongYong_DropList							t7	
94	Lv4	妖龙踪迹	Boss_FinishJiaoLong	1	4	0		EventSecret	53										
