ID	Kind	Name	WorldFlag	Weight	NpcStay	UnLockLevel	PopTip	Desc	ClassName	sParam1	fParam1	sParam2	fParam2	sParam3	fParam3	sParam4	fParam4
ID	类型 空：被动触发	名字	对WorldFlag的要求		会有NPC残留地图 1为门派1 2为门派2 3为胜利方	解锁等级	事件发生时弹出默认提示 0不开 1开启 	介绍	类名	胜利字符串	好感变化 实力变化	失败字符串	实力变化	PowerCheck 实力判断成功 AddElder新增长老 DelElder失去长老		发生地点	反向箭头
20000	SchoolSocialGood	正向社交		1		4		据传{0}的弟子在{1}附近游历时，遇到几名{1}的弟子。双方结伴历练，闯荡一番，在近期修行界也算搅动一些风云，闯出了一些名声。两派的关系也因此略有提升。	EventSocial		20						
20001	SchoolSocialGood	正向社交		1		4		据传{0}的长老在{1}附近游历时，遇到几名{1}的弟子切磋。{0}的长老心情不错，指点了一下{1}弟子的修行，其中一名弟子竟然当场突破。此事亦在修行界传为美谈，两派的关系也因此略有提升。	EventSocial		20						
20002	SchoolSocialGood	正向社交		1		4		据传{0}的弟子在[PLACE]附近游历时，遇到一名{1}的长老炼法。{0}的弟子陪侍左右，四方奔走，深的{1}的长老欢心。事成之后竟然得了该长老的一场大机缘。此事在修行界传为一段佳话，两派的关系也因此略有提升。	EventSocial		20					Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan	
20003	SchoolSocialGood	正向社交		1		4		据传{0}的长老在[PLACE]附近游历时，巧遇一名{1}的长老。二人一见如故，于[PLACE]坐而论道。讲到玄妙之处，方圆百里异像纷呈，鸟兽成灵，是近日修行界盛传的大事。两派的关系也因此颇有提升。	EventSocial		30					Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan	
20004	SchoolSocialGood	正向社交		1		4		据传{0}的长老在[PLACE]附近游历时，巧遇一名{1}的长老。二人结伴同行，游览当地幽胜，竟然机缘巧合发现一座前古仙人洞府，一同探索之下，双方大有所获。此事传出在修行界被人大加演绎，两派的关系也因此颇有提升。	EventSocial		30					Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan	
20005	SchoolSocialGood	正向社交		1		4		据传{0}的长老在[PLACE]附近游历时，无意间救了一伙被妖兽袭击的凡人车队。没想到，这车队中竟然都是{1}内堂长老的凡间亲眷。此事之后，整个{1}都对{0}的好感大增，不惜大张旗鼓的表达谢意，两派的关系也因此颇有提升。	EventSocial		30					Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan	
20006	SchoolSocialGood	正向社交		1		4		据传{0}的长老在试图降服[PLACE]出土的法宝时，竟然遇到一对通灵秘宝。措手不及之下，{0}险些让法宝走脱。多亏一名{1}的长老路过施以援手才成功降服此宝。二人平分这对通灵秘宝，引为好友。此事在修行界亦传为美谈，两派的关系也因此颇有提升。	EventSocial		30					Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan	
20007	SchoolSocialGood	正向社交		1		4		据传{0}的长老在[PLACE]附近游历时，竟然遇到一名{1}的长老被数名凶兽围攻，身陷险境。{0}的长老甘冒风险出手相救，最终击杀异兽，大有所获。两人经此一役互生爱慕，竟然结为道侣。此事在近日通传修行界，为大家津津乐道，两派的关系也因此大有提升。	EventSocial		70					Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan	
20008	SchoolSocialGood	正向社交		1		4		据传{0}的长老在[PLACE]附近游历时，竟然遇到{1}的长老被仇敌追杀，已然濒临陨落。{0}的长老孤身犯险，杀人数十，护送千里到{1}的山门。此事近日名动修行界，在各派轰传，两派的关系也因此大有提升。	EventSocial		70					Place_Desert|Place_SouthForest|Place_Snowfield|Place_FertileField|Place_CentralPlains|Place_Hei4|Place_HeHuan1|Place_Desert2|Place_Desert4|Place_Snowfield3|Place_FertileField1|Place_FertileField2|Place_FertileField3|Place_FertileField4|Place_FertileField5|Place_CentralPlains1|Place_CentralPlains2|Place_CentralPlains3|Place_CentralPlains4|Place_CentralPlains5|Place_BirthPlace11|Place_BirthPlace12|Place_BirthPlace13|Place_BirthPlace14|Place_DanXia|Place_KunLun|Place_TianJi|Place_JiuHua|Place_LongHu|Place_Shu|Place_WuLian|Place_BaiMan|Place_XianKong|Place_Hei|Place_HeHuan	
