Place	School
Place_DanXia	1
Place_DanXia1	1
Place_DanXia2	1
Place_DanXia3	1
Place_KunLun	2
Place_KunLun1	2
Place_KunLun2	2
Place_KunLun2_1	2
Place_TianJi	3
Place_TianJi1	3
Place_TianJi2	3
Place_JiuHua	4
Place_JiuHua1	4
Place_JiuHua2	4
Place_JiuHua3	4
Place_LongHu	5
Place_LongHu1	5
Place_LongHu2	5
Place_Shu	6
Place_Shu1	6
Place_Shu2	6
Place_Shu3	6
Place_Shu4	6
Place_Shu5	6
Place_WuLian	7
Place_WuLian1	7
Place_WuLian2	7
Place_BaiMan	8
Place_BaiMan1	8
Place_BaiMan2	8
Place_BaiMan3	8
Place_XianKong	9
Place_XianKong1	9
Place_Hei	10
Place_Hei4	10
Place_HeHuan	11
Place_HeHuan1	11
Place_HeHuan2	11
Place_Desert1	12
Place_WuDang_JinDing	13
Place_WuDang_Taizipo	13
Place_WuDang_ZiXiaoGong	13
Place_WuDang_NanYanGong	13
